region,horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
cherkasy,1,0.04203020851127803,0.20400377118177657,0.00042309053242206573,-0.041253715831165515,0.9583333333333334,24,1.410113495553378,1.181638024913625
cherkasy,2,0.08373308123555034,0.28852533612044223,0.0005454467609524727,-0.08284681984999527,0.9166666666666666,24,2.809244875452714,1.6712068915976699
cherkasy,3,0.208693231184346,0.4562649251568454,0.0006139278411865234,-0.2078174448494489,0.7916666666666666,24,7.001657906234808,2.6427942085408787
cherkasy,4,0.04217504915626099,0.20397534978309084,0.0006259893998503685,-0.0410971724971508,0.9583333333333334,24,1.414972899192556,1.1814734014597852
cherkasy,5,0.20867306164776286,0.4561986663342653,0.0006449446082115173,-0.20777713072796664,0.7916666666666666,24,7.000981218282444,2.642410421791285
cherkasy,6,0.0004451896141593655,0.0004890722107941666,0.0004718266427516937,0.0004451896141593655,1.0,24,0.014936111555046712,0.0028328217554763656
cherkasy,7,0.08374445920344442,0.2885118186187904,0.0005509229376912117,-0.08282764081377536,0.9166666666666666,24,2.80962660627556,1.6711285950354977
chernihiv,1,1.6091939161221187,2.130393526465694,1.0271822810173035,-0.5344048688809077,0.7916666666666666,24,5.836589825502387,3.0061188260550797
chernihiv,2,2.370595227306088,3.2467788326569678,1.5684589743614197,-1.9168358463793993,0.9166666666666666,24,8.59821295958046,4.581408482347084
chernihiv,3,1.692792423069477,2.4477915243151136,0.7482179403305054,-0.9164245054125786,0.875,24,6.139803869619564,3.453987299571442
chernihiv,4,1.7884859318534534,2.3857798598921307,1.3796377778053284,-0.7604307805498441,0.8333333333333334,24,6.486886812290094,3.3664849533893264
chernihiv,5,1.339367109661301,1.5787139188677664,1.2576544284820557,-0.016521723940968513,0.75,24,4.857920705852611,2.2276643134270278
chernihiv,6,2.4109083774189153,3.2503695456279504,1.68679678440094,-1.1834243945777416,0.75,24,8.744429844584282,4.5864752034607825
chernihiv,7,1.358320205161969,1.5696166673512653,1.0479263067245483,-0.12719525769352913,0.75,24,4.926664095479358,2.214827521205601
dnipropetrovsk,1,1.908737496783336,2.3650102744540518,1.6583892107009888,-0.9910674033065637,0.7916666666666666,24,2.536164079884393,1.7948631003162006
dnipropetrovsk,2,2.0903176218271255,2.611705740813336,1.8832809925079346,-0.37149323026339215,0.75,24,2.7774319292000027,1.9820862148905296
dnipropetrovsk,3,2.009236663579941,2.4606050121122833,1.8763068914413452,-0.831604133049647,0.8333333333333334,24,2.669698616360674,1.8674122427281825
dnipropetrovsk,4,1.878459724287192,2.3396509554865803,1.2962980270385742,-0.8803844476739565,0.8333333333333334,24,2.4959336138548633,1.7756173040693448
dnipropetrovsk,5,0.6810209850470225,0.9606004062808068,0.5435740947723389,0.11418668925762177,0.5416666666666666,24,0.904881348448618,0.7290227201148965
dnipropetrovsk,6,1.3966602608561516,1.8875097484922556,0.787598580121994,-0.6221627071499825,0.4166666666666667,24,1.8557604654148074,1.4324764825124998
dnipropetrovsk,7,1.577261559665203,1.8919632022508395,1.6951167583465576,-0.48905161768198013,0.75,24,2.095727735713567,1.4358563155333488
donetsk,1,0.17080262520660958,0.4031506567785579,0.008052870631217957,-0.1583116560553511,0.8333333333333334,24,0.861718507621316,0.5163771042294758
donetsk,2,0.17208328998337188,0.4978748527060498,0.007305581122636795,-0.15955684054642916,0.875,24,0.8681796058559589,0.6377049631107051
donetsk,3,0.21314059104770422,0.4534149284211073,0.007874295115470886,-0.20071198946485916,0.7916666666666666,24,1.075318320248192,0.5807582942401376
donetsk,4,0.7523168989767631,1.7990745054748771,0.01006508618593216,-0.7415761935214201,0.6666666666666666,24,3.7955236031083315,2.304351655665226
donetsk,5,0.3795428539936741,0.7872845461849336,0.010398834943771362,-0.3663537722701828,0.7083333333333334,24,1.9148365039831228,1.0083965071819154
donetsk,6,0.7526192711666226,2.3247126853792635,0.008123263716697693,-0.7424622038379312,0.7083333333333334,24,3.7970491049082993,2.9776173856044155
donetsk,7,0.5877259625121951,1.8904132261991184,0.010006427764892578,-0.5750597699855765,0.75,24,2.9651437657570145,2.4213432153181116
ivano-frankivsk,1,0.00020530971232801676,0.0002834053722972521,0.00016738846898078918,0.00020530971232801676,1.0,24,0.013776281697209925,0.002321503478061135
ivano-frankivsk,2,0.00020141598846142492,0.00029138391450830804,0.00014041410759091377,0.00020141598846142492,1.0,24,0.013515012825761612,0.0023868593791955594
ivano-frankivsk,3,0.04236187306620801,0.20400369563935727,0.00016067270189523697,-0.04091495164902881,0.9583333333333334,24,2.842481682742558,1.6710879018459774
ivano-frankivsk,4,0.08348771727954347,0.4082366621070884,0.00011984631419181824,-0.083174166851677,0.9583333333333334,24,5.602025829457367,3.344053866274797
ivano-frankivsk,5,0.00023822761916865906,0.0003172639481697564,0.0002250364050269127,0.00023822761916865906,1.0,24,0.01598507324621702,0.002598854612985184
ivano-frankivsk,6,0.04191001650178805,0.2040630507825253,0.0002117096446454525,-0.04139825214709466,0.9583333333333334,24,2.812162107269978,1.6715741070656895
ivano-frankivsk,7,0.04185099327393497,0.20407858047971802,0.0001772632822394371,-0.04146364802727476,0.9583333333333334,24,2.8082016486810364,1.671701317943006
kharkiv,1,1.137846702709794,1.4147214690491878,1.0770928040146828,0.04927708519001802,0.5833333333333334,24,3.955933355016952,2.112267692530553
kharkiv,2,0.9422287531197071,1.183745930036048,0.8729952797293663,-0.32510880505045253,0.6666666666666666,24,3.2758315717270645,1.7674067573599122
kharkiv,3,1.317478879665335,1.717256277763777,1.0506122931838036,0.22124921095867953,0.4583333333333333,24,4.58045765935461,2.5639710958465587
kharkiv,4,1.5896855890750885,1.9762426590917574,1.3911844491958618,-0.6481160745024681,0.75,24,5.52683435372738,2.950653971629983
kharkiv,5,0.9540011522670587,1.2585471906482324,0.6665732115507126,0.036143530160188675,0.6666666666666666,24,3.3167604827523127,1.8790897208324782
kharkiv,6,0.8276326432824135,1.04745702058867,0.6926290094852448,-0.2701947018504143,0.875,24,2.87741711731865,1.5639188860198403
kharkiv,7,1.440595065553983,1.9600426278491838,1.134046196937561,-0.23377814143896103,0.6666666666666666,24,5.008493725319806,2.9264663111184963
kherson,1,1.5178870012362797,1.876773714166093,1.4253277778625488,-0.8411009162664413,0.875,24,2.27344236122666,1.4793171580026736
kherson,2,1.271213635802269,1.4522115793153305,1.1767969131469727,0.041852161288261414,0.7916666666666666,24,1.9039829232663448,1.144667303317318
kherson,3,1.0990791941682498,1.3123650348882847,1.112810492515564,-0.23693174372116724,0.9166666666666666,24,1.6461654894796776,1.0344369696885067
kherson,4,1.2797826007008553,1.484838822341748,1.1922171711921692,-0.6265823816259702,0.9583333333333334,24,1.9168172434604327,1.170384863225039
kherson,5,1.2163778208196163,1.4283414337167146,1.0263442993164062,0.252298790961504,0.7083333333333334,24,1.8218516021650948,1.1258522934514408
kherson,6,1.0537896280487378,1.3467048202551655,0.5996382832527161,0.15108521531025568,0.75,24,1.5783322330819263,1.0615043957249628
kherson,7,1.054620818545421,1.313058165366708,0.7994223237037659,-0.08844737832744916,0.7916666666666666,24,1.579577163491021,1.0349833114247142
khmelnytskyi,1,0.0837848389831682,0.28850212737431435,0.0005637817084789276,-0.08278159067655604,0.9166666666666666,24,1.3385625466120443,1.0169823134971783
