region,horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
cherkasy,1,0.041836830554530025,0.2040275089809308,0.0002012350596487522,-0.04145697418910762,0.9583333333333334,24,1.4036256651044823,1.1817755198527915
cherkasy,2,0.08346650698998322,0.28860223418330194,0.0001280391588807106,-0.08315802198679496,0.9166666666666666,24,2.800301309513937,1.6716523033397708
cherkasy,3,0.20845879579428583,0.4563672589080646,0.0002179071307182312,-0.20814555165513107,0.7916666666666666,24,6.99379259889829,2.6433869497974354
cherkasy,4,0.04199586110189557,0.20406061368868417,0.00039833132177591324,-0.04131137998774648,0.9583333333333334,24,1.4089611399685964,1.1819672701388693
cherkasy,5,0.20848816260695457,0.45633294610586006,0.0003108084201812744,-0.20808485181381306,0.7916666666666666,24,6.994777855463326,2.6431882019429653
cherkasy,6,0.00013126789902647337,0.00018326221639282893,7.13542103767395e-05,0.00013126789902647337,1.0,24,0.004404038012338182,0.0010614980407727868
cherkasy,7,0.08353943082814415,0.2886420173300967,0.00019138120114803314,-0.08310799160972238,0.9166666666666666,24,2.802747904284236,1.67188273672211
chernihiv,1,1.6503904983401299,2.103333625795828,1.2192028760910034,-0.21959158033132553,0.7916666666666666,24,5.986010942628255,2.9679356097505245
chernihiv,2,2.3108455451826253,3.0790292050110026,1.820868968963623,-1.6165128536522388,0.9166666666666666,24,8.381499247662388,4.344703241054479
chernihiv,3,1.7406869009137154,2.350885658821421,1.1818000078201294,-0.6129188910126686,0.8333333333333334,24,6.313518435205963,3.3172470480654055
chernihiv,4,1.7377269317706425,2.329829316787949,1.3765851855278015,-0.4453525592883428,0.8333333333333334,24,6.302782547124871,3.2875352293763553
chernihiv,5,1.391803253442049,1.6024160230427935,1.3619028329849243,0.30796271935105324,0.75,24,5.0481080165384595,2.261109468367896
chernihiv,6,2.461021681626638,3.1793077613734204,1.8600088357925415,-0.8182372152805328,0.7083333333333334,24,8.92619215335932,4.4862025708195254
chernihiv,7,1.4135717476407688,1.5874408542332765,1.2916582226753235,0.1537656063834826,0.7916666666666666,24,5.127062933334897,2.2399785663432707
dnipropetrovsk,1,1.8746399283409119,2.2847652673574794,1.5970031023025513,-0.791525810956955,0.7916666666666666,24,2.4908582018153504,1.7339632370986942
dnipropetrovsk,2,1.9301711196700733,2.491375311176898,1.7035284042358398,0.0021414185563723245,0.75,24,2.5646432104923154,1.890764561732175
dnipropetrovsk,3,1.816586472094059,2.2080977725957744,1.9971628189086914,-0.3718062813083331,0.8333333333333334,24,2.4137218272774525,1.6757784339171369
dnipropetrovsk,4,1.7454302161931992,2.2580110390255514,1.641732931137085,-0.5144779483477274,0.8333333333333334,24,2.3191755941893795,1.7136588106320916
dnipropetrovsk,5,0.829249482601881,1.1302815518735172,0.5299889445304871,0.33508874600132305,0.5416666666666666,24,1.1018344610413113,0.8577978169224744
dnipropetrovsk,6,1.4948480340341728,1.8411143435699693,1.1833151578903198,-0.1530528428653876,0.4166666666666667,24,1.9862238234394654,1.3972658953878991
dnipropetrovsk,7,1.5499628360072772,1.8385729386770604,1.3446414470672607,-0.11854677150646846,0.7916666666666666,24,2.0594555702195705,1.3953371621749755
donetsk,1,0.16965219347427288,0.4037402639070287,0.005175333470106125,-0.15994819719344378,0.8333333333333334,24,0.8559144497837377,0.5171323048387608
donetsk,2,0.17119784777363142,0.4989962686934682,0.004592511802911758,-0.1614130741606156,0.875,24,0.8637124500459149,0.6391413331884496
donetsk,3,0.21354549967994294,0.45444101259542447,0.0060737356543540955,-0.20120501114676395,0.7916666666666666,24,1.0773611299642234,0.5820725581901542
donetsk,4,0.7519354534645876,1.7998425896799244,0.006710797548294067,-0.7437174022197723,0.6666666666666666,24,3.7935991674792353,2.3053354593399518
donetsk,5,0.37798892178883153,0.7877513391315577,0.008127950131893158,-0.36921009204039973,0.7083333333333334,24,1.9069967407541801,1.0089944007633835
donetsk,6,0.7517567879209915,2.325959876729938,0.004530861973762512,-0.7456916030496359,0.7083333333333334,24,3.7926977796615438,2.979214855550831
donetsk,7,0.5866521575177709,1.8912302755567187,0.0063262805342674255,-0.5772901037707925,0.75,24,2.959726298454318,2.422389736201053
ivano-frankivsk,1,0.0003535137511789799,0.0004086707351753784,0.000363063532859087,0.0003535137511789799,1.0,24,0.02372077270410955,0.003347609558002161
ivano-frankivsk,2,0.00031802260006467503,0.000375141858556158,0.0003283298574388027,0.00031802260006467503,1.0,24,0.021339316464339696,0.0030729591409826753
ivano-frankivsk,3,0.041877258995858334,0.2040739342170721,0.00021315738558769226,-0.04143549932632595,0.9583333333333334,24,2.809964078622094,1.6716632582731943
ivano-frankivsk,4,0.08357165150421982,0.4082356296208688,0.0002485448494553566,-0.08308980115301286,0.9583333333333334,24,5.60765781593315,3.3440454087062954
ivano-frankivsk,5,0.0003263381076976657,0.0003815668255135514,0.0003554937429726124,0.0003263381076976657,1.0,24,0.02189728702651337,0.0031255889941753396
ivano-frankivsk,6,0.04199477108583475,0.20405025339465754,0.0003812341019511223,-0.04130823388307666,0.9583333333333334,24,2.817849139859512,1.6714692777880924
ivano-frankivsk,7,0.04193199365787829,0.2040649262314046,0.0003116312436759472,-0.041377036191988736,0.9583333333333334,24,2.813636774443633,1.671589469728228
kharkiv,1,1.1429571981231372,1.4262983100990394,1.0331102386116982,0.23152616868416467,0.7083333333333334,24,3.9737009323348444,2.129552640745552
kharkiv,2,0.8887247505287329,1.175832618103515,0.7258237600326538,-0.14284121617674828,0.7916666666666666,24,3.0898150653097396,1.755591687396183
kharkiv,3,1.336463252082467,1.735333742963336,1.1297407150268555,0.4224663693457842,0.5833333333333334,24,4.646460322006919,2.590961882753565
kharkiv,4,1.4989888966083527,1.9125828344530673,1.2059582471847534,-0.504176619152228,0.7916666666666666,24,5.211510619814531,2.855605869343928
kharkiv,5,0.9047173137466112,1.2482018907951107,0.5064225196838379,0.21897732838988304,0.7083333333333334,24,3.1454161529739695,1.863643540699242
kharkiv,6,0.8263844586908817,1.048611922328921,0.7852723598480225,-0.05762023602922758,0.8333333333333334,24,2.8730775739978323,1.56564322659666
kharkiv,7,1.4203319307416677,1.9009214720428713,1.1404829323291779,-0.03470042782525221,0.7083333333333334,24,4.93804520998787,2.838194725448231
kherson,1,1.4391156236330669,1.7472033235403666,1.2505009174346924,-0.687945673863093,0.9166666666666666,24,2.155461123789705,1.3771867303571046
kherson,2,1.292194162805875,1.4677150606699314,1.1031911373138428,0.24552070101102194,0.75,24,1.9354068822382635,1.1568875117545543
kherson,3,0.9670843780040741,1.1896665320968227,1.0526463985443115,-0.04381746053695679,0.9583333333333334,24,1.4484678965194948,0.9377231255683598
kherson,4,1.1650503600637119,1.3276696794706095,1.1216380596160889,-0.3757014100750287,1.0,24,1.7449749812561397,1.046500450307866
kherson,5,1.2626119951407115,1.4385834842038145,1.1799490451812744,0.45246941844622296,0.75,24,1.891099662364771,1.1339253184007638
