region,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
cherkasy,0.16666666666666666,0.408248290463863,0.0,-0.011904761904761904,0.8333333333333334,168,5.591666666666667,2.3646705196848603
chernihiv,2.244047619047619,2.889842638655343,2.0,-0.6130952380952381,0.6904761904761905,168,8.139221364221365,4.0777491353020245
dnipropetrovsk,2.1607142857142856,2.7613402542968153,2.0,-0.06547619047619048,0.6190476190476191,168,2.8709688826025457,2.095647441108569
donetsk,0.8928571428571429,2.2598988599366248,0.0,0.15476190476190477,0.6309523809523809,168,4.504564983888293,2.89460034238901
ivano-frankivsk,0.07142857142857142,0.28867513459481287,0.0,0.011904761904761904,0.9345238095238095,168,4.792857142857143,2.36467051968486
kharkiv,1.6547619047619047,2.3477446117294702,1.0,-0.10714285714285714,0.5416666666666666,168,5.7530841352084865,3.5053296370781433
kherson,1.5238095238095237,1.864454471471609,1.0,-0.19047619047619047,0.7202380952380952,168,2.282312925170068,1.4696068413278436
khmelnytskyi,0.08333333333333333,0.28867513459481287,0.0,-0.011904761904761904,0.9166666666666666,168,1.331349206349206,1.0175921713341223
kirovohrad,0.03571428571428571,0.1889822365046136,0.0,-0.03571428571428571,0.9642857142857143,168,0.9985119047619047,0.9251309890706155
kyiv,0.5952380952380952,1.0118347314702751,0.0,0.011904761904761904,0.5892857142857143,168,4.6442414174972315,2.169174122361917
luhansk,0.05952380952380952,0.2439750182371333,0.0,0.023809523809523808,0.9404761904761905,168,3.328373015873016,1.5799619495116843
lviv,0.017857142857142856,0.1336306209562122,0.0,-0.017857142857142856,0.9821428571428571,168,0.3994047619047619,0.5103737517345767
mykolaiv,0.5654761904761905,0.9667077166981805,0.0,0.22023809523809523,0.6011904761904762,168,2.9876734158230223,1.914954194847845
odesa,0.24404761904761904,0.5824823725107175,0.0,-0.02976190476190476,0.8214285714285714,168,1.036430078360458,1.0889136269258282
poltava,0.16071428571428573,0.49401176002967684,0.0,0.07738095238095238,0.8869047619047619,168,2.1144957983193278,1.7918987212109665
rivne,0.023809523809523808,0.1543033499620919,0.0,-0.023809523809523808,0.9761904761904762,168,1.9970238095238093,1.1538410663298504
sumy,6.279761904761905,8.34130571028187,5.0,-1.6011904761904763,0.8690476190476191,168,5.8605288429697335,3.8838725664957012
vinnytsia,0.10119047619047619,0.3181045051401759,0.0,0.05357142857142857,0.8988095238095238,168,2.5147707231040566,1.4799608704919884
zaporizhia,4.392857142857143,5.360792407666541,4.0,2.619047619047619,0.5238095238095238,168,3.572857142857143,2.147584031898188
zhytomyr,0.19642857142857142,0.48181205582971576,0.0,0.10119047619047619,0.8154761904761905,168,4.118861607142857,1.9733718424492197
