horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n
1,0.720474763388241,1.7838317857887689,0.0008115321397781372,-0.19961946642627784,0.8916666666666667,480
2,0.7857434714620467,2.3588917302284163,0.0005844812840223312,-0.35118194241658784,0.8916666666666667,480
3,0.6967456338422683,1.7213929587615628,0.0007696673274040222,-0.12965916855609977,0.8708333333333333,480
4,0.8132162043950909,2.0491615620828347,0.0008684499189257622,-0.3162146331635692,0.89375,480
5,0.5738428076341128,1.2572117313455438,0.0007813479751348495,0.12008417785400524,0.85,480
6,0.6754089965116388,1.9158621028784206,0.0005597267299890518,-0.23465835042879918,0.8604166666666667,480
7,0.705734905876064,1.669188983302594,0.0011351071298122406,-0.17787432263139635,0.8708333333333333,480
