horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n
1,0.925,2.248147385441325,0.0,-0.041666666666666664,0.83125,480
2,1.0583333333333333,2.773385416177612,0.0,-0.0375,0.83125,480
3,0.86875,2.190414724810502,0.0,-0.05625,0.8291666666666667,480
4,1.0375,2.3979157616563596,0.0,0.0125,0.8291666666666667,480
5,0.6395833333333333,1.4498563147199564,0.0,0.014583333333333334,0.7916666666666666,480
6,0.75625,1.91974390653198,0.0,-0.06458333333333334,0.8583333333333333,480
7,0.9395833333333333,2.1178802295377013,0.0,-0.01875,0.7895833333333333,480
