horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n
1,0.9166666666666666,2.222985979862821,0.0,-0.029166666666666667,0.8145833333333333,480
2,1.3395833333333333,3.377314021526574,0.0,-0.22291666666666668,0.7854166666666667,480
3,1.13125,2.50873474086042,0.0,0.05625,0.7729166666666667,480
4,1.1375,2.6793966982637465,0.0,-0.22083333333333333,0.8145833333333333,480
5,1.0208333333333333,2.39269722280108,0.0,0.45416666666666666,0.7666666666666667,480
6,1.0291666666666666,2.4647515087732477,0.0,0.17916666666666667,0.7708333333333334,480
7,0.9395833333333333,2.1178802295377013,0.0,-0.01875,0.7895833333333333,480
