horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n
1,0.7111434558251252,1.7574235157012659,0.0015701185911893845,-0.24713797825388611,0.8833333333333333,480
2,0.8203015300086312,2.404375409408407,0.0015231519937515259,-0.44426945032416065,0.8833333333333333,480
3,0.7144164397216325,1.7381788459901097,0.002065002918243408,-0.22275211867818143,0.8645833333333334,480
4,0.8484032729213747,2.086974508043815,0.001505986787378788,-0.41340683708549475,0.8875,480
5,0.5403517679476256,1.1873680014251917,0.002294190227985382,0.048029355895899545,0.8458333333333333,480
6,0.6660432350414339,1.9221621071217243,0.001209445297718048,-0.33111117342681,0.8708333333333333,480
7,0.721836900152266,1.6982932519359462,0.0021909549832344055,-0.28356838275600843,0.8583333333333333,480
