model,MAE,RMSE,MedAE,ME,ZeroAcc,MASE_mean,MASE_median,RMSSE_mean,SkillRMSE,SkillMAE
chronos2_fine_tuned,0.7101666833013518,1.84955530012639,0.0007465318776667118,-0.18416052939553212,0.8755952380952381,2.058943090220868,1.8694812609186995,1.4555702775746728,0.15537830417166465,0.20141899066514657
chronos2_zero_shot,0.7174995145168699,1.8606848480835578,0.0017581526190042496,-0.2706023692326631,0.8705357142857143,2.0659977225616744,1.915598478845705,1.467343338290555,0.15029586210099855,0.19317323668785713
naive_weekly,0.8892857142857142,2.1898032092491997,0.0,-0.02738095238095238,0.8229166666666666,3.1283249150918886,2.2956858524659864,1.9053951585429487,0.0,0.0
naive_last,1.0735119047619048,2.5664386107711876,0.0,0.028273809523809524,0.787797619047619,3.441959891255055,3.158023215848019,2.0204452170618907,-0.17199509066895646,-0.20716198125836693
