,Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,agg_gain,total_gain
10,rolling_rmean7_7_act_total_daily_strike_events_pastcov_lag-1,511.5154259502888,452.41167711187154,2276.96136691235,1029.7943640947342,2439.06144541502,1304.4979165787809,947.4582705218345,1280.24292379784,10241.94339038272
11,ewm_ewma14_dist_to_nearest_ru_km_pastcov_lag-1,1566.921289600432,1237.2348613142967,1426.7448340058327,908.54367852211,1262.3241094611585,1158.9147920012474,1022.7470174946357,1226.2043689142447,9809.634951313958
12,ewm_ewma14_dist_to_nearest_contested_km_pastcov_lag-1,1043.7516293525696,1113.3245061188936,1003.6749128773808,1009.734007358551,1118.8145802132785,1398.3751496449113,1389.3307351097465,1153.8579315250474,9230.86345220038
13,ewm_expdecay7_acled_other_ua_disrupted_weapons_use_pastcov_lag-1,998.2399753211066,1165.011834813282,964.6796362074092,660.516024603101,1161.0113311875612,1124.9529147744179,1223.5537098928398,1042.5664895428167,8340.531916342534
14,ewm_expdecay7_dist_to_nearest_contested_km_pastcov_lag-1,791.8403218984604,1033.723346889019,1042.1334609985352,1451.2335977256298,1532.3878177851439,620.7146217525005,548.3828399181366,1002.916572423918,8023.332579391344
15,ewm_expdecay7_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-1,1789.2326653078198,993.3806377984583,1139.0027891403297,597.3787876665592,1026.8979527416523,479.0629964254331,844.054386049509,981.287173589966,7850.297388719728
16,env_weather_wind_direction_10m_dominant_futcov_lag-2,720.0055786445737,657.1767877712846,1241.4029158949852,1578.8820262998343,1449.1527497768402,683.3545019626617,465.98445378243923,970.8512877332313,7766.81030186585
17,ewm_ewma14_acled_other_ua_shelling_artillery_missile_attack_pastcov_lag-1,731.2965459004045,1168.4353168308735,880.1306248204783,933.0420544655062,1031.9693524837494,1047.2037815228105,901.8566620349884,956.2763340084015,7650.210672067212
18,rolling_rsum14_14_dist_to_nearest_ru_km_pastcov_lag-1,904.7399070283864,756.3287794925272,828.5326465182006,1351.2683534771204,653.1088211536407,1023.5467165485024,947.102074704133,923.5181855603587,7388.1454844828695
19,act_drone_strike_on_ua_binary_target_lag-7,3757.318290568888,343.7810143530369,300.7406511604786,454.4426443576813,871.1621263362467,337.90566182136536,19.276609927415848,869.2324283607304,6953.859426885843
20,act_drone_strike_on_ua_binary_target_lag-6,109.2785663753748,3870.0345828533173,487.16597501933575,85.43207693099976,405.1107255220413,762.3604171313345,291.2825319170952,858.666410821357,6869.331286570856
21,act_drone_strike_on_ua_binary_target_lag-1,1406.5006699701771,182.75450921058655,412.9452614784241,204.15149021148682,35.45792090892792,18.437641456723213,3665.033463060856,846.4687080424545,6771.749664339636
22,act_drone_strike_on_ua_binary_target_lag-5,81.00674962997437,155.77092921733856,3800.3029720187187,442.8674645423889,207.13126531615853,460.07614517211914,710.8664050102234,836.8602758438459,6694.882206750767
