model,threshold,F1,Precision,Recall,ROC_AUC,PR_AUC,Brier
spe_dt,0.6,0.6818181818181818,0.5844155844155844,0.8181818181818182,0.9012323232323233,0.732851817145893,0.1481715037638314
spe_lgbm,0.49999999999999994,0.6764314247669774,0.6033254156769596,0.7696969696969697,0.8988103254769919,0.7138440806045573,0.10479319763249248
catboost,0.49999999999999994,0.6724137931034483,0.5663900414937759,0.8272727272727273,0.8927070707070708,0.7016978196534054,0.11567555651134173
xgboost,0.44999999999999996,0.6657303370786517,0.6204188481675392,0.7181818181818181,0.8923389450056117,0.6950233282103512,0.0984377882964172
lightgbm,0.39999999999999997,0.6572528883183568,0.5701559020044543,0.7757575757575758,0.8842671156004489,0.6757845932055683,0.10652217569635292
logistic,0.75,0.6735483870967742,0.5865168539325842,0.7909090909090909,0.8789988776655443,0.663060753343577,0.17990633414437848
naive,0.05,0.583883751651255,0.5175644028103045,0.6696969696969697,0.7585521885521885,0.41149226456603505,0.1875
