MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE,RMSSE,region,horizon
0.017565838636417697,0.017565838636417697,0.017565838636417697,0.017565838636417697,0.00030499223717583845,0.0003032264131705986,1.0,1,,0.5718656356078206,0.10022624145801047,cherkasy,1
0.08327160156627778,0.08327160156627778,0.08327160156627778,0.08327160156627778,0.006571757371867104,0.006398568634494062,1.0,1,,2.710953250991043,0.4751267399140271,cherkasy,2
0.04042761759937852,0.04042761759937852,0.04042761759937852,0.04042761759937852,0.0015916363700014813,0.0015707309220394094,1.0,1,,1.316143550735323,0.23066978166854857,cherkasy,3
0.028258214901828227,0.028258214901828227,0.028258214901828227,-0.028258214901828227,0.0008138962062209654,0.0008217056363841735,1.0,1,,0.9199618851372967,0.16123424156084445,cherkasy,4
0.04471372187517919,0.04471372187517919,0.04471372187517919,0.04471372187517919,0.0019416486966785662,0.0019135173614435175,1.0,1,,1.4556800566030559,0.25512521080872064,cherkasy,5
0.007049267216248767,0.007049267216248767,0.007049267216248767,0.007049267216248767,4.9459867104584276e-05,4.9344174762211424e-05,1.0,1,,0.2294928104845432,0.04022133942714342,cherkasy,6
0.12982750382458175,0.12982750382458175,0.12982750382458175,0.12982750382458175,0.015525068470854109,0.014904482494550564,1.0,1,,4.226606513400273,0.740762967003262,cherkasy,7
0.7761150563165597,1.0459030651989374,0.544284062887542,-0.48366525559556334,0.5762235254161177,0.43361972944173893,1.0,36,-0.1933598783191266,4.838334287250043,2.4140368829946244,chernihiv,1
0.7939815558414173,1.059367656153884,0.6355660776602139,-0.48147330933428517,0.5926504535227333,0.4459147934495527,1.0,36,-0.22428345189633525,4.94971480556458,2.4451143511283413,chernihiv,2
0.7823705750708049,1.0547369353393892,0.5472181327669696,-0.4645940246283631,0.5852968698734952,0.4391301679325107,1.0,36,-0.21360363938450222,4.877331457356294,2.4344262374656136,chernihiv,3
0.8289654571702267,1.0949442755976406,0.6707315128199666,-0.4707849040278641,0.6444731867233949,0.4881895627817546,1.0,36,-0.3078941454516819,5.16780593512503,2.5272283389032566,chernihiv,4
0.768591167333306,1.056324025028319,0.5725449277107257,-0.4285952426259397,0.5879914453435469,0.44142683168158886,1.0,36,-0.2172586682022133,4.791430043162951,2.4380893809950464,chernihiv,5
0.9027239650737351,1.2037947398830668,0.6214722584599864,-0.5363220283667862,0.7840880088778507,0.5979608885614284,1.0,36,-0.41954786197891325,5.627619612055413,2.7784648485372805,chernihiv,6
0.8963848624680375,1.1939052608732512,0.6411500610969969,-0.5562035971146371,0.7659413590728099,0.5809036967369099,1.0,36,-0.396319776595095,5.588101376662447,2.7556390553278924,chernihiv,7
1.1097504774797775,1.3957544367212735,0.8554248238652871,-0.3533952566813489,0.9023277956070632,0.6352360157481383,1.0,50,-0.16070689205619626,1.7816815885017796,1.2280325697972414,dnipropetrovsk,1
1.1074205679451112,1.4417250036343183,0.6993386484103864,-0.5045534327036993,0.9673851560529627,0.6826956090180922,1.0,50,-0.20148611913547687,1.7779409666187265,1.2684790494472544,dnipropetrovsk,2
1.1079575188809356,1.4189196136087145,0.8458530879370448,-0.3336601969914718,0.9262801766544929,0.6501770340981409,1.0,50,-0.1637762253661874,1.778803030312954,1.2484140860256385,dnipropetrovsk,3
1.166279087554504,1.4674780890228847,0.9167721640375905,-0.36489847944422416,0.9977657408343855,0.7017808288818713,1.0,51,-0.21978060551472844,1.8724371104299706,1.2911374962326503,dnipropetrovsk,4
1.1476623101651602,1.4422660439564843,0.8197584004895184,-0.46435083758065904,0.9590339630241894,0.673309271692392,1.0,51,-0.1782277045669114,1.8425482568679008,1.2689550752578935,dnipropetrovsk,5
1.2644688229967853,1.5741536609355895,1.009207030332528,-0.4214446004331641,1.1487820046430814,0.8091178148228818,1.0,52,-0.3138045410260055,2.0300787130852496,1.3849943189401461,dnipropetrovsk,6
