F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,horizon,paradigm
0.5229517722254503,0.5921052631578947,0.46826222684703434,0.7801740945606556,0.6216486663498861,0.16494532372612636,450,310,2009,511,3280,1,activity
0.7630566245189665,0.8088578088578089,0.7221644120707597,0.9058660775864583,0.8156972478225912,0.10678755654784301,694,164,2155,267,3280,1,global
0.462453531598513,0.8098958333333334,0.32362122788761705,0.8382560210431941,0.7152895921733872,0.14614158772748448,311,73,2246,650,3280,1,local
0.5976470588235294,0.5460017196904557,0.66008316008316,0.7990018458094386,0.6498473855627913,0.1702461583774597,635,528,1790,327,3280,2,activity
0.7668845315904139,0.8054919908466819,0.7318087318087318,0.9058628217385766,0.8173948437075282,0.10587815599725703,704,170,2148,258,3280,2,global
0.53276955602537,0.8271334792122538,0.39293139293139295,0.8453118861876412,0.7302259173247223,0.14094084632255804,378,79,2239,584,3280,2,local
0.5745734727572922,0.6126760563380281,0.5409326424870466,0.800269922447655,0.6560336948212103,0.15868536425669974,522,330,1985,443,3280,3,activity
0.7673913043478261,0.8068571428571428,0.7316062176165803,0.904403137904408,0.8187708728019922,0.10610767826545518,706,169,2146,259,3280,3,global
0.5489390828199863,0.8084677419354839,0.4155440414507772,0.8380010966998288,0.7227851104586178,0.14181365577983182,401,95,2220,564,3280,3,local
0.5864577504196978,0.6359223300970874,0.5441329179646937,0.8135367689536592,0.6640447243151624,0.1535501287893635,524,300,2017,439,3280,4,activity
0.7690607734806629,0.8217237308146399,0.7227414330218068,0.9085297124374404,0.8221173972920255,0.10547159336254348,696,151,2166,267,3280,4,global
0.501466275659824,0.8528678304239401,0.35514018691588783,0.8446403417603688,0.7316662543735246,0.14357779995596318,342,59,2258,621,3280,4,local
0.5946902654867257,0.6875852660300137,0.5239085239085239,0.8236624159833825,0.6953729283885588,0.14802695919537273,504,229,2089,458,3280,5,activity
0.7707317073170732,0.8052095130237825,0.739085239085239,0.9041246396725258,0.8041085457093768,0.10668901077941442,711,172,2146,251,3280,5,global
0.5140388768898488,0.8360655737704918,0.3711018711018711,0.8476651138428533,0.7316184302424404,0.14111603042508197,357,70,2248,605,3280,5,local
0.6066779852857951,0.6674968866749689,0.5560165975103735,0.8214482151943185,0.6907068739338099,0.1498344250661688,536,267,2049,428,3280,6,activity
0.7771797631862217,0.8076062639821029,0.7489626556016598,0.9091177018611284,0.8194932570381535,0.1036504081532856,722,172,2144,242,3280,6,global
0.5239799570508232,0.8452655889145496,0.3796680497925311,0.8482946523910878,0.7326338109262551,0.1398855423719173,366,67,2249,598,3280,6,local
0.5714285714285714,0.6450777202072538,0.5128733264675592,0.8136102895623134,0.6790958892383356,0.15215505273557423,498,274,2035,473,3280,7,activity
0.7692307692307693,0.8114285714285714,0.7312049433573635,0.9085916881909727,0.8244741057702814,0.10479177892895392,710,165,2144,261,3280,7,global
0.5032822757111597,0.8625,0.3553038105046344,0.8449433752044456,0.7366555773502225,0.1438562352162911,345,55,2254,626,3280,7,local
