F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,horizon
0.6428571428571429,0.5065666041275797,0.8794788273615635,0.90125661764894,0.7226055023512228,0.14976163608747786,270,263,1010,37,1580,1
0.6546329723225031,0.5200764818355641,0.8831168831168831,0.9022911051212937,0.7299025647791566,0.14802416359264595,272,251,1021,36,1580,2
0.6438679245283019,0.5074349442379182,0.8806451612903226,0.9020675641351283,0.7297958630906394,0.14994401162078738,273,265,1005,37,1580,3
0.64075382803298,0.5065176908752328,0.8717948717948718,0.898100683491062,0.7451812799922847,0.1502664310835492,272,265,1003,40,1580,4
0.6414201183431952,0.5093984962406015,0.865814696485623,0.9040726629027338,0.7395865460115983,0.14945665000057096,271,261,1006,42,1580,5
0.6417736289381564,0.5083179297597042,0.870253164556962,0.902396951610319,0.7409475839779169,0.14874914171420256,275,266,998,41,1580,6
0.6587112171837709,0.5277246653919694,0.8761904761904762,0.9034719869502479,0.7449550463245779,0.14787844517025805,276,247,1018,39,1580,7
