paradigm,MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE_mean,MASE_median,RMSSE_mean
global,0.786650119378882,1.9673825667025233,0.09050497064662544,-0.36854762951220094,1.3438994096325028,2.0090248034518714,0.8703397212543554,22960,0.4262722959943732,2.8128043809137617,2.3673641232922433,1.473373466858065
local,0.9090976730610996,2.231009022600687,0.1865458540159703,-0.5559991451631195,2.00558012959493,2.6853319618451215,0.8367595818815331,22960,0.2622132738865164,4.803984036072469,3.885972981784678,1.68931886625269
activity,0.9213216616114034,2.0558370281722773,0.37051990071938035,-0.33057198474927585,1.637758713615327,2.4058299746683507,0.7756533101045296,22960,0.3735223930823822,5.638856065055165,4.254313867035915,1.815707860611991
