F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region
0.977818853974122,0.9566003616636528,1.0,0.5323724007561437,0.9641826422036417,0.08511695502335141,529,24,0,0,553,sumy
0.7819383259911894,0.6419529837251357,1.0,0.5336036420543463,0.6691391920828924,0.23128506103925178,355,198,0,0,553,dnipropetrovsk
0.7064327485380117,0.546112115732369,1.0,0.5530460937706129,0.5974949948248163,0.25631803653904084,302,251,0,0,553,zaporizhia
0.6833333333333333,0.5189873417721519,1.0,0.5407770296822195,0.5655105071368097,0.26679681675225725,287,266,0,0,553,kherson
0.6242197253433208,0.4553734061930783,0.9920634920634921,0.6324948584084797,0.563746456290529,0.26306035134016903,250,299,2,2,553,chernihiv
0.4638888888888889,0.30198915009041594,1.0,0.5473922621079085,0.3442507884253262,0.30956142459361735,167,386,0,0,553,kharkiv
0.14193548387096774,0.09821428571428571,0.2558139534883721,0.5372549019607843,0.08683205283247972,0.21243283110877187,11,101,409,32,553,mykolaiv
0.08860759493670886,0.051094890510948905,0.3333333333333333,0.5226459004654493,0.06054058446264152,0.20620126288690127,7,130,402,14,553,odesa
0.009708737864077669,0.006097560975609756,0.023809523809523808,0.34078837014257757,0.054286592748073494,0.23498974842973536,1,163,348,41,553,donetsk
0.0,0.0,0.0,0.2590266875981162,0.0092649969366768,0.063926954733577,0,0,546,7,553,cherkasy
0.0,0.0,0.0,0.2925170068027211,0.009842532545827537,0.05351348284675822,0,0,546,7,553,ivano-frankivsk
0.0,0.0,0.0,0.9029304029304029,0.09481134096395409,0.07583190532166227,0,0,546,7,553,khmelnytskyi
0.0,0.0,0.0,0.5178902729923138,0.03361682946169035,0.06443110541175112,0,0,539,14,553,lviv
0.0,0.0,0.0,,0.0,0.0453893248453126,0,0,553,0,553,luhansk
0.0,0.0,0.0,0.45354330708661417,0.07276549880047084,0.17166510112884967,0,0,508,45,553,kyiv
0.0,0.0,0.0,0.3027507547802751,0.01456739526102985,0.10274378405756145,0,0,542,11,553,kirovohrad
0.0,0.0,0.0,0.4764521193092622,0.014133158423394366,0.050358008842835665,0,0,546,7,553,rivne
0.0,0.0,0.0,0.44602364755425983,0.0758438148057669,0.12904190624387427,0,0,504,49,553,poltava
0.0,0.0,0.0,0.7048327137546468,0.06654338080750741,0.08768384603866775,0,0,538,15,553,vinnytsia
0.0,0.0,0.0,0.7596670247046187,0.11400377933896752,0.07273917644317364,0,0,532,21,553,zhytomyr
