F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,horizon
0.6335616438356164,0.6678700361010831,0.6026058631921825,0.90125661764894,0.7226055023512228,0.09035820880242942,185,92,1181,122,1580,1
0.6333907056798623,0.673992673992674,0.5974025974025974,0.9022911051212937,0.7299025647791566,0.08945188249250667,184,89,1183,124,1580,2
0.6452702702702703,0.6773049645390071,0.6161290322580645,0.9020675641351283,0.7297958630906394,0.08985954968930622,191,91,1179,119,1580,3
0.6467661691542289,0.6701030927835051,0.625,0.898100683491062,0.7451812799922847,0.09001552202004305,195,96,1172,117,1580,4
0.6849757673667205,0.6928104575163399,0.6773162939297125,0.9040726629027338,0.7395865460115983,0.09013219329411302,212,94,1173,101,1580,5
0.6634146341463415,0.6822742474916388,0.6455696202531646,0.902396951610319,0.7409475839779169,0.09148601781071534,204,95,1169,112,1580,6
0.6786885245901639,0.7016949152542373,0.6571428571428571,0.9034719869502479,0.7449550463245779,0.09007561883086743,207,88,1177,108,1580,7
