MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE,RMSSE,region,horizon
0.024141531110167567,0.11173233900726111,0.010989496434608116,-0.000836311865962911,0.10755149906303305,0.7625702804234701,0.9873417721518988,79,0.0011107008334720891,0.785940957253233,0.6375165239644836,cherkasy,1
0.024134887054679824,0.1122858951795219,0.010619291670591556,-0.0009620241076298739,0.11826974384110729,0.8639554712762726,0.9873417721518988,79,-0.008811423094354787,0.7857246563356877,0.6406749757600363,cherkasy,2
0.024496830997868348,0.11268504926984726,0.010621414132585117,-0.0006820569996059887,0.13066357551294946,1.0110597932245813,0.9873417721518988,79,-0.015996420166203285,0.7975079424861584,0.6429524482487657,cherkasy,3
0.025925057144584974,0.11288212224523267,0.012211017909255729,0.000742700196058501,0.134159664557812,1.046423595125956,0.9873417721518988,79,-0.019553245570121947,0.8440046381514886,0.6440768969030347,cherkasy,4
0.026118372837903428,0.11274120785761353,0.012475875648711656,0.000986505493652779,0.12655735693240583,0.9454840328613336,0.9873417721518988,79,-0.017009352088683816,0.8502981379450782,0.6432728749755452,cherkasy,5
0.02488399027998548,0.11252212318561808,0.012165933577581575,-0.00025657359920914873,0.12529294789275458,0.9428342805202822,0.9873417721518988,79,-0.013060579934493388,0.8101121280039718,0.6420228331364016,cherkasy,6
0.026188204023923276,0.11257463379041151,0.012432843047066409,0.0011052398176971258,0.12084501773943739,0.8786062250261831,0.9873417721518988,79,-0.014006328820197922,0.8525715310010578,0.6423224453931271,cherkasy,7
0.8242447919550535,1.1225426919342745,0.5361301902562963,-0.303378438068503,1.5421127523895874,2.5732678041119708,0.6329113924050633,79,-0.006952263282600457,5.13837710729427,2.590927927484349,chernihiv,1
0.8058602081435869,1.1157971103176514,0.4737828241213341,-0.3013040648573978,1.5211693359995073,2.5448429461138993,0.6962025316455697,79,0.005113326826492792,5.023766829490872,2.575358527831924,chernihiv,2
0.8266410628476187,1.11280469543725,0.5327528817901132,-0.2717739909388723,1.5085436497045603,2.5205300494341096,0.6708860759493671,79,0.0104424705431172,5.153315562007496,2.568451769327361,chernihiv,3
0.8404012854442172,1.1417926311632811,0.5648489271590553,-0.28285256812806814,1.6171247322631594,2.6604722245246224,0.5443037974683544,79,-0.04178384953957637,5.239097375216078,2.635358491692886,chernihiv,4
0.822834412080596,1.118820852211546,0.6045016380934538,-0.25872704343815167,1.5583163900115031,2.616458119373951,0.5822784810126582,79,-0.0002861434061420809,5.129584739140737,2.58233759185745,chernihiv,5
0.8828578083231076,1.1972617696525416,0.6655139581226457,-0.2799574732296733,1.7084641710940114,2.7547070610411977,0.569620253164557,79,-0.0414519772981905,5.503773145503628,2.763386174789447,chernihiv,6
0.8751244472387696,1.1871634874565893,0.6151894185085254,-0.2962308271327572,1.6792049821205164,2.727006125064159,0.5822784810126582,79,-0.023957851906230676,5.45556304342467,2.7400784453381712,chernihiv,7
1.0578173824252917,1.452438396062337,0.9105143704085708,-0.25746386138764604,1.727733344603604,2.2559323997306135,0.6329113924050633,79,-0.03962980843940511,1.6983040715101942,1.277905059129539,dnipropetrovsk,1
1.0872685711977097,1.50213704907541,0.8994657323104329,-0.37222340555613503,1.833388779570385,2.352019780773159,0.6329113924050633,79,-0.06458198309293017,1.7455873499228982,1.3216316366487713,dnipropetrovsk,2
1.0699688134517007,1.486117408299117,0.9237371137248436,-0.28897802043175275,1.7989878699879984,2.324404143099064,0.6329113924050633,79,-0.041996450011284825,1.717812944336155,1.3075370078858837,dnipropetrovsk,3
1.1156661955092673,1.5107518749685291,0.9118345962461498,-0.3108828472727734,1.802153638141333,2.2833167299591963,0.6455696202531646,79,-0.04460830391656656,1.7911791522422755,1.329211255600035,dnipropetrovsk,4
1.1236363183301412,1.5201971329932535,0.9192848213844248,-0.32594364331530096,1.8266407558800333,2.30601732227432,0.6455696202531646,79,-0.057710969187975136,1.8039750206615417,1.3375215171899946,dnipropetrovsk,5
1.204656604933405,1.5864105374637072,0.9698215939648996,-0.33750092563112893,1.9243092540991402,2.3565800192168087,0.6582278481012658,79,-0.08352060382580873,1.9340514260026722,1.3957783388110552,dnipropetrovsk,6
1.2083311476745533,1.5991467454062553,0.9471075616727169,-0.33703399018734953,1.9570587181954526,2.405360762753233,0.6455696202531646,79,-0.08986096869545745,1.9399508288692826,1.406984090881527,dnipropetrovsk,7
0.23532497479590883,0.3366960670840388,0.16969300753338057,0.10188438007469444,0.5292253634669155,1.911478958895661,0.9367088607594937,79,-0.18709099288978748,1.1396730184330792,0.41114079970223166,donetsk,1
0.23277698570592775,0.3399438834348408,0.16515788847687532,0.09848690974676784,0.5305682878861454,1.9057234777913592,0.9367088607594937,79,-0.21010313369931333,1.127333170443584,0.41510672013402994,donetsk,2
0.25221454573567154,0.3463549454431848,0.1927112968458043,0.12041457920313219,0.553362200545935,1.956240033961978,0.9367088607594937,79,-0.25617662872793656,1.2214687917446572,0.4229352914145886,donetsk,3
0.2566050166625872,0.35537560495396514,0.19612002864597816,0.10336077842844306,0.572774270118244,1.9898768841403387,0.9240506329113924,79,-0.19061518480681494,1.2427317335890589,0.4339504517555559,donetsk,4
0.2542778605904416,0.3684291597251602,0.18178698029693335,0.07771430315528045,0.5843929394277477,1.9799144639737483,0.8987341772151899,79,-0.16687827195185978,1.231461374429742,0.44989019525795465,donetsk,5
0.2641838435947061,0.37029976848687784,0.19324288348303567,0.08827110077855357,0.5959717647927902,2.00923839335562,0.9113924050632911,79,-0.17875742922465254,1.2794358045165106,0.45217440246264,donetsk,6
0.26124546664894244,0.36641485112238953,0.18750456099446794,0.08875045546865458,0.5855754115685976,1.9912949906023907,0.9113924050632911,79,-0.15415383048334808,1.265205317820498,0.4474305156514699,donetsk,7
0.02159825529366023,0.11253028199077511,0.008918209863856918,-0.0036221775774815473,0.13388536539694848,1.0893524281818654,0.9873417721518988,79,-0.013207496172906286,1.5820722002606118,0.96310407782889,ivano-frankivsk,1
0.022486316852634188,0.11268559466640705,0.007775265071582741,-0.0027344252455588237,0.13574252945137466,1.1050088096236121,0.9873417721518988,79,-0.016006255051964402,1.6471227094554544,0.9644333402158083,ivano-frankivsk,2
0.02036305994506648,0.11238246919818246,0.006854031656548035,-0.004847200324426731,0.12888607634297747,1.0223963518175743,0.9873417721518988,79,-0.01054747140775536,1.4915941409761195,0.9618390041013316,ivano-frankivsk,3
0.0229959548583122,0.11279151256728803,0.007720803175649569,-0.002193773352994643,0.12971804553005617,0.9993871492816908,0.9873417721518988,79,-0.017917126183837784,1.6844536933713687,0.9653398514272696,ivano-frankivsk,4
0.022197318247669174,0.1118431914616622,0.009007873720293496,-0.002846659223122646,0.10903202793087623,0.771154139638964,0.9873417721518988,79,-0.0008723286125085217,1.625953561641767,0.9572235301334662,ivano-frankivsk,5
0.025065313354741613,0.11302218410080801,0.00836412466774948,-9.535833960106675e-05,0.12868876285799452,0.9616699907493708,0.9873417721518988,79,-0.022084897324879504,1.8360342032348231,0.9673140817468057,ivano-frankivsk,6
0.02239674243201998,0.11189271366129355,0.007360181978714622,-0.0026313865332733013,0.10803129191158592,0.7511373647102989,0.9873417721518988,79,-0.0017588621950899164,1.6405613831454635,0.9576473718902292,ivano-frankivsk,7
0.6147191464534415,0.7462289451983014,0.537371586535876,0.1625212503652171,1.0756057961956325,2.360226680436616,0.4177215189873418,79,-0.017969690341445688,2.385598806766336,1.1684817890845924,kharkiv,1
0.63221044785346,0.7539793676762346,0.5725596080410223,0.158499342547101,1.1035394288812048,2.4026544802874086,0.3291139240506329,79,-0.03922500850239019,2.453478956570381,1.1806177797633919,kharkiv,2
0.6184032001309174,0.7562117518979765,0.5147728897262034,0.13770285415015943,1.1014048003315329,2.394619751323522,0.4810126582278481,79,-0.0453879993425359,2.399895862759719,1.1841133561895407,kharkiv,3
