MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE,RMSSE,region
0.9425656091239476,1.133727954193082,0.9424414335119474,0.04052538210476367,1.4627042566386266,2.3340937549642327,0.5189873417721519,553,0.012847686202344444,1.5691575197347536,0.9315320475263875,kherson
1.1371427762458186,1.502283969301859,0.9827795903869344,-0.2189592307032037,1.771732751978468,2.257469626976418,0.6419529837251357,553,-0.030804968713192382,1.8256593613152046,1.321760902097259,dnipropetrovsk
2.180264147433183,2.3982108913406823,2.169217473510581,0.0043507095966407675,3.112977675200724,3.3369523248239936,0.546112115732369,553,0.06147234294163151,1.9777628334301012,0.9970945211163184,zaporizhia
0.5222064727539033,0.529151345594131,0.5157012445248742,0.4888765579705916,1.0223736956535352,2.7945410533270567,0.4267631103074141,553,-6.664417349042102,2.0265761128065387,0.9417656559223,odesa
0.5192314506645409,0.5242322567361168,0.5186768407926328,0.4461150673137241,0.9923918350439238,2.696631646131299,0.4177215189873418,553,-2.832296577206517,2.6926515937116897,1.0127977362836698,mykolaiv
0.5737433783219626,0.5870751075058808,0.5559636976094825,0.48141212122963845,1.1008701595079604,2.838742455436094,0.2007233273056058,553,-2.249252978768629,2.7786249561708276,0.7168795622581352,donetsk
0.7273706986091463,0.8475572277803863,0.7760278832209304,0.41469099399248893,1.3200168264957342,2.6811373003800045,0.30198915009041594,553,-0.32826378191540795,2.8227763535427797,1.327146571090496,kharkiv
0.4663230382402703,0.4709035671760917,0.46116168575452315,0.3757838661899311,0.8851395368594668,2.539404523968622,0.7124773960216998,553,-1.9664565883130245,3.503401287292287,0.9703786776656116,kyiv
2.818158090014462,3.8159148567390027,1.9382765305944178,-2.259356603808901,3.921792759145482,2.294401876064415,0.9566003616636528,553,-0.4763642703547657,3.9698092325684486,2.4292003632860957,sumy
0.32457495157632327,0.3307731505561578,0.3167797773678477,0.30969430118587776,0.6419853927351739,2.2401066735605117,0.9873417721518988,553,-7.754272873860664,4.7550230405931355,1.1103947149680269,khmelnytskyi
0.877759497105537,1.1067161111021184,0.7210427547870134,-0.04692845599225653,1.4578046587460771,2.448060933092857,0.45207956600361665,553,0.04861278194011298,5.47199005642388,2.554398777573833,chernihiv
0.3662944182494842,0.38067210784731115,0.3367376185368228,0.25018573011801,0.6910714649918757,2.2215112009622313,0.9059674502712477,553,-0.7944268537648449,5.648645502478889,1.494885972275655,poltava
0.28902071643406657,0.33916563387143783,0.26279348153313187,0.22705030432732418,0.5856998336600131,2.091200171479086,0.9746835443037974,553,-0.8599041322578864,7.056922492931792,1.3683884452853528,lviv
0.32986983449758134,0.34118761119106666,0.3190702663459879,0.28065180374611676,0.6420184162787026,2.203638429009728,0.9602169981916817,553,-2.1864407097144425,7.43475857752241,1.4164544158456742,zhytomyr
0.26879641075929556,0.2785885863774284,0.2581413221471533,0.24908551139617127,0.5364803858621113,2.0457285535136265,0.9873417721518988,553,-5.209923057300626,8.750816483608178,1.5895561551967108,cherkasy
0.3422039149820337,0.3507411519085442,0.33314325225809066,0.30636358995959295,0.671983512487729,2.2728898578477077,0.9656419529837251,553,-3.661762841333938,9.115067917248714,1.6651327321347462,vinnytsia
0.3522284994812533,0.3599074426097644,0.3458880571265315,0.324624733953307,0.6967645776416196,2.3259080673019534,0.9783001808318263,553,-5.644157917494413,9.828852414095925,1.7424873394788027,kirovohrad
0.262998084453856,0.2673630246631235,0.2585275812365426,0.262998084453856,0.525996168907712,2.042873879407595,1.0,553,0.0,12.8430731241633,1.6180433854815628,luhansk
0.2587102773872814,0.27112437031247977,0.24803142145697246,0.2392451483670571,0.5158552850870115,2.00008028771647,0.9873417721518988,553,-4.881616349881673,18.950527818618365,2.320450833564473,ivano-frankivsk
0.25521287003416493,0.26648434880655886,0.24409438816189893,0.2359598571786631,0.5086297475533648,1.9880732699496442,0.9873417721518988,553,-4.682023087428442,24.92579030667011,2.039954660797378,rivne
