paradigm,MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE_mean,MASE_median,RMSSE_mean
global,0.9825860948282209,2.0391513058024904,0.4166891688581861,-0.14012636778884152,1.56893880458434,2.402292866265377,0.7706010452961672,22960,0.3836504437676116,7.495569965440116,5.3935828121031175,1.866989856964476
local,1.092776625159129,2.1669339228908258,0.564,-0.15728051373921437,1.9134422936464583,2.7835383593697167,0.5496951219512195,22960,0.3039835230315957,11.138098445821571,6.73417397370995,2.3717442253002607
activity,1.1396812826858493,2.108295184412361,0.6496421715412644,-0.005471713189492169,1.9020868439533332,2.8547201737556733,0.3603658536585366,22960,0.3411432227536254,12.575170303365892,7.516262587040644,2.5842711497282798
