F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,horizon
0.0,0.0,0.0,0.7692307692307692,0.05263157894736842,0.06234606618615713,0,0,78,1,79,cherkasy,1
0.0,0.0,0.0,0.28205128205128205,0.017543859649122806,0.06259670045064773,0,0,78,1,79,cherkasy,2
0.0,0.0,0.0,0.10256410256410253,0.014084507042253521,0.06580323877092585,0,0,78,1,79,cherkasy,3
0.0,0.0,0.0,0.05128205128205132,0.013333333333333334,0.06745713872489209,0,0,78,1,79,cherkasy,4
0.0,0.0,0.0,0.21794871794871795,0.016129032258064516,0.06679214752598713,0,0,78,1,79,cherkasy,5
0.0,0.0,0.0,0.16666666666666663,0.015151515151515152,0.05935416443222341,0,0,78,1,79,cherkasy,6
0.0,0.0,0.0,0.3205128205128205,0.018518518518518517,0.06313922704420559,0,0,78,1,79,cherkasy,7
0.6260869565217392,0.45569620253164556,1.0,0.6582687338501292,0.5599140679207621,0.2623670997115187,36,43,0,0,79,chernihiv,1
0.6260869565217392,0.45569620253164556,1.0,0.6996124031007752,0.6481798750384027,0.25442585282072966,36,43,0,0,79,chernihiv,2
0.6260869565217392,0.45569620253164556,1.0,0.6201550387596898,0.5700220674289663,0.2656909104045471,36,43,0,0,79,chernihiv,3
0.6260869565217392,0.45569620253164556,1.0,0.6020671834625323,0.5709020366974281,0.2642361386271045,36,43,0,0,79,chernihiv,4
0.6071428571428571,0.4473684210526316,0.9444444444444444,0.6253229974160207,0.5800391314837469,0.26647183053699264,34,42,1,2,79,chernihiv,5
0.6260869565217392,0.45569620253164556,1.0,0.6208010335917312,0.5868778870757813,0.2642237843784633,36,43,0,0,79,chernihiv,6
0.631578947368421,0.46153846153846156,1.0,0.6369509043927649,0.5830917204882445,0.2640068429018273,36,42,1,0,79,chernihiv,7
0.7751937984496124,0.6329113924050633,1.0,0.5751724137931035,0.7125603863282591,0.23363385685607796,50,29,0,0,79,dnipropetrovsk,1
0.7751937984496124,0.6329113924050633,1.0,0.5420689655172414,0.7088058994187935,0.23241219561005014,50,29,0,0,79,dnipropetrovsk,2
0.7751937984496124,0.6329113924050633,1.0,0.5248275862068965,0.6766665359170182,0.23374968367994103,50,29,0,0,79,dnipropetrovsk,3
0.7846153846153846,0.6455696202531646,1.0,0.59593837535014,0.6832402305256942,0.2285750715427147,51,28,0,0,79,dnipropetrovsk,4
0.7846153846153846,0.6455696202531646,1.0,0.5266106442577031,0.6533990215000646,0.2302420080184063,51,28,0,0,79,dnipropetrovsk,5
