MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE,RMSSE,horizon,paradigm
0.5185562457591052,1.2042931467131508,0.14171942340182253,-0.1850700206890096,1.066052739620394,2.125687231023729,0.8531645569620253,1580,0.33185556992922083,3.4664971797785626,1.1590368844414454,1,activity
0.476351910887573,1.1512001911726364,0.059778039659452,-0.14801337584625812,0.8528275788183807,1.709357416615061,0.8537974683544304,1580,0.38946912902386466,1.668988390932153,0.939554651809632,1,global
0.5615670929860954,1.2970228184997419,0.18876055247923534,-0.227558034402403,1.3488060508276605,2.5035430745332783,0.8310126582278481,1580,0.22500097552136689,5.723956926496631,1.3212817101131293,1,local
0.4902366233655986,1.1388830673024362,0.11379998412221976,-0.16403246879660086,0.9357854559131226,1.9366515536453843,0.859493670886076,1580,0.40140635699522265,2.8313295608491105,1.065712786637016,2,activity
0.47384827180758204,1.1310006792140326,0.05559412898919652,-0.1424253056031147,0.8303690540094979,1.646756248559125,0.860126582278481,1580,0.4096636036357574,1.6530761115529775,0.9345302854134859,2,global
0.549696200322763,1.2493730097454574,0.18373438735227282,-0.2221726946423874,1.2359997316970703,2.3585459528512613,0.8449367088607594,1580,0.279625937077867,5.120652628091296,1.2744617419933033,2,local
0.5018568640290351,1.1653567853524467,0.1240714665861464,-0.18462569277901017,0.9862899255050656,2.058197783708712,0.8620253164556962,1580,0.38323661909567175,3.1096322241578376,1.1160627302780335,3,activity
0.4731054353119726,1.1286242027669713,0.051890071627311476,-0.14648209234798706,0.8164770967339249,1.6546808901125374,0.8569620253164557,1580,0.42150517199494886,1.62730496134995,0.9323796005768383,3,global
0.5510290097250924,1.257301414242036,0.18253497125612944,-0.22207883499643133,1.2304049018802743,2.391240883715326,0.8575949367088608,1580,0.2820741845700838,5.046347672221255,1.2637744600525946,3,local
0.5118975887826466,1.1853301383031871,0.13500766592368008,-0.19381116949473964,1.0157034255610917,2.0486041607332406,0.8550632911392405,1580,0.3697297606793122,3.1675707626495386,1.1197796167895748,4,activity
0.47885201132685384,1.1487021771245434,0.05322305932761472,-0.15495538010997645,0.8419615038186143,1.678384957856594,0.860126582278481,1580,0.4080799715873996,1.6609795500187183,0.9413397103614868,4,global
0.5643586276865172,1.286094927323557,0.19565031972677568,-0.22961051720257297,1.282566133766026,2.420984374781877,0.8550632911392405,1580,0.2580165860166408,5.1026973052120805,1.2776655819888472,4,local
0.5150807094144304,1.1946997212074453,0.12608848431894748,-0.19414235667409926,1.0331134803441993,2.0933070113306913,0.8626582278481013,1580,0.36960338782765145,3.1386080030906753,1.124436966272682,5,activity
0.4824964430119804,1.1438070375943288,0.0582139169649316,-0.15577942017553298,0.8370613821595788,1.6803057539933226,0.8569620253164557,1580,0.4221676203151046,1.6703580315045148,0.9353640405988601,5,global
0.555948704309096,1.2676856733254054,0.18035714661555027,-0.22522296769905042,1.248667768456778,2.3632920009322285,0.8537974683544304,1580,0.2902269417722114,4.959450116533256,1.250072300119668,5,local
0.5175001132913173,1.1801956560164208,0.12313599985946921,-0.19111352389035943,1.0004725015837743,2.037191464729252,0.8664556962025316,1580,0.40441275807633126,3.1309600991437345,1.1150724064419701,6,activity
0.4918675354545395,1.1586141737729698,0.05535959793447945,-0.15000663420791316,0.8408874083569058,1.6580059664552618,0.8544303797468354,1580,0.4259958441306617,1.6992813485122789,0.9488545460027833,6,global
0.5678694458619398,1.274117938211053,0.18106881290872873,-0.2363008753794453,1.2443421467139613,2.368290978111827,0.8537974683544304,1580,0.30584473361532816,5.2466910465964816,1.2903050812393206,6,local
0.5189291900671561,1.1987285111241148,0.12677561439413015,-0.19212638223893028,0.9956219356343113,1.9914556055731696,0.8582278481012658,1580,0.3914487524556691,2.9424408500111583,1.103568453313491,7,activity
0.49083101191383116,1.15277614877267,0.06065284660289128,-0.154242017891833,0.8314132131441496,1.694720810418217,0.8537974683544304,1580,0.4372111925913227,1.688800702956544,0.9471481919760929,7,global
0.5701481126010396,1.2933807883443524,0.181973867010721,-0.23807651081315453,1.2650384868661226,2.371853351945414,0.8531645569620253,1580,0.2915514778316308,5.074909691342643,1.2840144365907258,7,local
