MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE,RMSSE,horizon,paradigm
1.4351753525407536,2.1381113645638807,1.096592216420074,0.620801811136202,2.3805894089943496,3.4307520408549923,0.29298780487804876,3280,0.29979367495126763,22.106156546617267,3.959313861150497,1,activity
1.4611270971945558,2.1337325323750873,1.1651246121710135,0.6565308320304059,2.423978606744071,3.477696795836459,0.29298780487804876,3280,0.30265877018239884,22.84137544640269,4.081140568328644,1,global
1.4362888941238114,2.1912288078761657,1.125,0.48942945967681684,2.4599999466813243,3.4805381976239604,0.29298780487804876,3280,0.26457084386707697,22.41886723778662,3.976303094187371,1,local
1.442450906448809,2.1698579658200967,1.0823639456572915,0.603194520302852,2.4061379826565883,3.4413832948977374,0.29329268292682925,3280,0.29231345084433047,21.851750655173436,3.9400341002292385,2,activity
1.4777599022867618,2.158408734951711,1.1828109453796087,0.6853134343007041,2.4570751412606917,3.5022029701831996,0.29329268292682925,3280,0.2997619479574086,23.13749775474191,4.128349835902962,2,global
1.4487379194803072,2.2176612303030314,1.125,0.5001609288721159,2.475586270303878,3.4862161525392965,0.29329268292682925,3280,0.2607884640955691,22.45273484245435,3.989592372227297,2,local
1.437139951710065,2.139787987781301,1.0899763686457715,0.6171630716931944,2.377448873653294,3.4231545550925846,0.2942073170731707,3280,0.31270674149274047,21.82899854340364,3.9295709186465664,3,activity
1.487750215755469,2.1424789847117616,1.1874852783052245,0.708683999306282,2.4572279071563283,3.5073875228044327,0.2942073170731707,3280,0.3109769747798775,23.46993919404939,4.182163191383741,3,global
1.450631282978491,2.2029828361149106,1.125,0.4937402472720116,2.4611324846110607,3.476615098202321,0.2942073170731707,3280,0.2715112981546308,22.452902509730386,3.986616105254405,3,local
1.424534874137415,2.127222003958555,1.0756989534678862,0.5993493734306614,2.3517487623057027,3.406741092178006,0.29359756097560974,3280,0.32186645270552194,21.64995562508589,3.8938160316738255,4,activity
1.4700808542256942,2.119931630725978,1.1750884275188747,0.6750996721371455,2.4140410940109955,3.4761173170431947,0.29359756097560974,3280,0.3265066594402337,23.037826220062318,4.108602027769389,4,global
1.4491927661894828,2.2143834930348025,1.125,0.490828195116267,2.4677715295872606,3.479248576039464,0.29359756097560974,3280,0.26515580653743054,22.441025737027918,3.9840678451936737,4,local
1.4308285444323676,2.1478839396825404,1.0782819207887995,0.6064598869055552,2.363346053682246,3.414386796757024,0.29329268292682925,3280,0.32587377467866163,21.811774173693742,3.9277477819068096,5,activity
1.4727083101380811,2.143513684209408,1.16625794978206,0.6839156167948179,2.4145711614246856,3.470612024778748,0.29329268292682925,3280,0.32861424550471763,22.72482497539941,4.071483480804727,5,global
1.4531457186639811,2.233091065456162,1.125,0.4954010570044273,2.4619284949116476,3.4718719944201895,0.29329268292682925,3280,0.2713273496056535,22.439331880880587,3.9833793526567343,5,local
1.43513677193935,2.1555964646690957,1.0656853609719787,0.6113833774507238,2.366911161327894,3.4133306917690933,0.2939024390243902,3280,0.32683472862068397,21.654962159232664,3.91326297228063,6,activity
1.4727863002370662,2.1482046091692575,1.185979854679133,0.6794654630973164,2.429041226267467,3.483471604958016,0.2939024390243902,3280,0.33144357715174855,23.07630463916901,4.120186638268008,6,global
1.4587732888281164,2.2661887190689627,1.125,0.48037797750192585,2.509505291993179,3.4994263486753354,0.2939024390243902,3280,0.25598974102175687,22.459066508300246,3.997989231581463,6,local
1.4321066731242875,2.1301534737277716,1.0856381976163196,0.6137960556213795,2.3430742977366035,3.398494548908649,0.29603658536585364,3280,0.34817309086027703,21.91445315504253,3.9407672529353315,7,activity
1.4826101138975036,2.136550285304701,1.1991688920248107,0.6941187897126209,2.428767329026848,3.484055329696271,0.29603658536585364,3280,0.3442523643897454,23.364280912478726,4.165256832209788,7,global
1.4493129371231506,2.2239265566174353,1.125,0.4825914910816864,2.4489466205220967,3.4597832998021736,0.29603658536585364,3280,0.2895207840905849,22.440267284030675,3.985373596484126,7,local
