MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE,RMSSE,region,paradigm
0.6068373899084041,0.6169859769923147,0.6163867934449119,0.5338940892380247,1.1600214539001958,2.8855225429248157,0.1332752613240418,1148,-3.2895878807097185,20.359394431426956,3.5737285003568973,cherkasy,activity
0.40914667182878695,0.423847750033846,0.3875328572218434,0.2849784149576489,0.7712681636669575,2.3358769489159315,0.8214285714285714,1148,-1.024346014631929,13.726870839855803,2.4550262738418267,cherkasy,global
0.5175068171489168,0.5259079350566249,0.51,0.4257979851537646,0.9780972525969491,2.642546026973502,0.42160278745644597,1148,-2.116624139318444,17.362353715346156,3.0461829703774863,cherkasy,local
1.8479755466537362,2.5846031715374305,1.2714902844936666,-1.178198110200387,2.8060051967329924,2.302987137095492,0.837979094076655,1148,-0.2164620004220279,6.702657252998146,3.6470371108994506,chernihiv,activity
1.8340128899648487,2.5480829384378807,1.2997653536703289,-1.109144951891228,2.706796621268255,2.229527468071437,0.837979094076655,1148,-0.18232785393977102,6.652014319818452,3.5955047724424296,chernihiv,global
1.8990964054380686,2.6821643225665435,1.2111629254864107,-1.364969375924083,3.1790448953942856,2.627766037834869,0.837979094076655,1148,-0.31003097352837083,6.888073989453752,3.7847020113776124,chernihiv,local
1.7684610965800656,2.0570661556949372,1.6442913379648267,-0.6540324532758803,2.313995485294639,2.3934753926126175,0.6994773519163763,1148,-0.024406084743918255,2.3497770213964833,1.561156912359907,dnipropetrovsk,activity
1.7864973339002372,2.067379447620508,1.680915796069929,-0.6156646568701357,2.3372299084466146,2.4117379964056505,0.6994773519163763,1148,-0.03470374413039301,2.3737420020733846,1.568983917307811,dnipropetrovsk,global
1.8483065308178752,2.191135775406085,1.6272473131529388,-0.9311725659690205,2.661107628900417,2.6705725799878652,0.6994773519163763,1148,-0.16228922350381536,2.455868677581771,1.662905566855082,dnipropetrovsk,local
0.8869183644682835,1.4072193244269415,0.7203088866842073,0.4077886006388799,1.841139533313286,3.178884898773119,0.23954703832752614,1148,-0.11142942509660281,4.4746031771294605,1.80244240594771,donetsk,activity
0.8155983840746919,1.3720926260008997,0.6321532539691039,0.29295212307676405,1.7539715849503477,3.0896090729260606,0.2534843205574913,1148,-0.05663543375332036,4.114785832436979,1.75745023612385,donetsk,global
0.810311012832591,1.3680028220456404,0.6166872334472193,0.269168773983694,1.7326795344348278,3.060734752616532,0.2874564459930314,1148,-0.05034578356956443,4.088110448200515,1.7522117946435398,donetsk,local
0.607233984667095,0.6188702837396965,0.5981123586144497,0.5772881740181214,1.2009341449621151,3.049403112953823,0.13153310104529617,1148,-8.172911410571176,40.74540037116208,5.06945053484548,ivano-frankivsk,activity
0.2962862344886066,0.3268483767165175,0.2742565479620054,0.24927259746198882,0.5924282440994953,2.1193168739148054,0.9747386759581882,1148,-1.5585894489744772,19.8808063341855,2.6773650661434147,ivano-frankivsk,global
0.44761325770145455,0.4695176088205524,0.4342857142857143,0.4112348770809137,0.8792039850553874,2.5867735115144965,0.6872822299651568,1148,-4.279729945823814,30.0348495917676,3.846034226706959,ivano-frankivsk,local
1.0948583937647485,1.4866104588710005,0.9148360813732656,-0.42761113845973825,1.5469296173034885,1.8418727183767942,0.7360627177700348,1148,-0.06136421612108345,3.8064765917935035,2.219602453450897,kharkiv,activity
1.1008222252244464,1.4761024772688904,0.9241698451934242,-0.3510953899550898,1.5172329832122378,1.8123184707976072,0.7369337979094077,1148,-0.046412916285261785,3.827210948837324,2.203913379285111,kharkiv,global
1.1335533433713965,1.5439500220153854,0.9556361421382169,-0.5789752929554768,1.708858415722464,2.000883617842114,0.7386759581881533,1148,-0.1448182644455347,3.941006701565839,2.305214009777317,kharkiv,local
1.1737375984145435,1.4760939243656368,0.9528521286836722,-0.5964006661418494,1.3552256206331128,1.372807178169582,0.8597560975609756,1148,-0.204442352890837,1.7579864476253542,1.1634919290777852,kherson,activity
1.163401634450118,1.456836511314031,0.9432284732327817,-0.5466392553895153,1.3197988433497987,1.3443282559129621,0.8597560975609756,1148,-0.17322056699128807,1.7425055730268506,1.1483127834349427,kherson,global
1.2063982165759397,1.5414693878790076,0.9957102711086917,-0.7678844159315352,1.5160598929323037,1.5199844457307847,0.8597560975609756,1148,-0.313493240592998,1.8069044717019096,1.2150224061713855,kherson,local
0.6399370056186275,0.6506460578838246,0.6361050847091263,0.6011642693404575,1.2518381377451318,3.0732051551696786,0.07491289198606271,1148,-7.683473642917804,10.223755494526168,2.293555126392535,khmelnytskyi,activity
0.3578421982011271,0.3706108238668213,0.34303112934538016,0.2892984315301534,0.6927644486055293,2.272515304070677,0.936411149825784,1148,-1.8173453278311924,5.716955118879912,1.3064189733830411,khmelnytskyi,global
0.5331842541001656,0.5438226397863568,0.5383369047619049,0.48328970207520794,1.0370498893685713,2.7894114850807465,0.34581881533101044,1148,-5.066224127517975,8.518253202409788,1.9169980179193336,khmelnytskyi,local
0.595985753966881,0.6015025693467262,0.6003813738348573,0.5657182689164325,1.1710232448143203,2.9981120335995666,0.10017421602787456,1148,-9.264890769696688,16.66276837132405,2.9445554100777525,kirovohrad,activity
0.34425823196716715,0.3565246653370764,0.32421019710647536,0.2947808733475086,0.6731867305869398,2.2588157914383085,0.9477351916376306,1148,-2.606272337323776,9.624886402082048,1.7453069789620546,kirovohrad,global
0.5125457373611372,0.519516301089724,0.5150375939849623,0.4768459157658323,1.0033596376215328,2.7694828961734417,0.445993031358885,1148,-6.657336228044757,14.329924573721794,2.5432053210657752,kirovohrad,local
0.7163484761989088,0.9172024045142277,0.6509282822796603,0.31653493996678034,1.3299766001805193,2.6836690469295794,0.3405923344947735,1148,-0.13385018048518615,5.5891840410403235,1.9663010756207056,kyiv,activity
0.6494793372194303,0.8751191750560016,0.5281539124203445,0.16604408680814184,1.2246747225528145,2.55638282138799,0.45121951219512196,1148,-0.03219013535536264,5.067449247374857,1.8760829308120595,kyiv,global
0.6840142887982065,0.897420270920135,0.6012483168071114,0.23824316858405875,1.2872876257343557,2.6360682411107206,0.3710801393728223,1148,-0.08546807452302962,5.336902183530192,1.9238920823901022,kyiv,local
0.44535102067063437,0.4579433334780754,0.4483142270152282,0.4226820163551429,0.8819257856226917,2.6121612507269636,0.686411149825784,1148,-10.677881060507056,24.90254457249964,2.965602983272067,luhansk,activity
0.2460521844419834,0.26000066853443704,0.23116456059227664,0.21802529251867617,0.489715628098556,1.9425473637668949,0.9817073170731707,1148,-2.7643456523419765,13.758417980047572,1.683742729481995,luhansk,global
0.45453592168574747,0.4717634775636282,0.4525,0.4311693213870914,0.9037650056574803,2.640789651256911,0.64198606271777,1148,-11.393363779726105,25.416133620928047,3.0551010882408276,luhansk,local
0.6005055045531003,0.6092077477196045,0.594909700944678,0.5878767439932172,1.1916647820384125,3.0496142309983485,0.1332752613240418,1148,-19.666712655269844,13.431306451837676,2.3267394970147515,lviv,activity
0.29682241297033546,0.3068077419340911,0.2877174483091698,0.27153913513480776,0.5865368185831833,2.130010007049808,0.9817073170731707,1148,-4.241712465374069,6.638927970103169,1.1717869541549601,lviv,global
0.5640733134461359,0.5804428622665274,0.5657142857142857,0.5461712155440379,1.1203893652408476,2.945488256025655,0.29442508710801396,1148,-17.761152576222045,12.616439777411905,2.21687813139472,lviv,local
0.7217735963731647,0.7826040424408413,0.7170957076789164,0.5284768817868756,1.3466732216874506,2.9319367422074336,0.18989547038327526,1148,-0.9307692453845025,3.8134652217826264,1.5502626782536273,mykolaiv,activity
0.6330838936344478,0.6880511325921271,0.6007945186728874,0.3926285307971199,1.1620842488267615,2.716178184503591,0.25261324041811845,1148,-0.49240820099589566,3.3448763199111378,1.3629625375572267,mykolaiv,global
0.6157752636780621,0.6720417532269765,0.589645300074058,0.3689016693492188,1.1245928308931417,2.6661572692875373,0.33885017421602787,1148,-0.42376630614008093,3.2534267868344857,1.3312495102971191,mykolaiv,local
0.6881444720547242,0.7285232118305969,0.709665245713044,0.5715225526719849,1.309983376739922,2.9919129195124747,0.22560975609756098,1148,-1.961920640550443,2.9224363338526578,1.3619276570974894,odesa,activity
0.5685234184013486,0.5956964605290271,0.5404998502534859,0.40394771611108315,1.0637102725945164,2.6969610393378116,0.352787456445993,1148,-0.9803259127191901,2.414425403463955,1.1136165212786868,odesa,global
0.5357784081045375,0.5714460395211297,0.5135323814624435,0.36195620749701013,1.0036045097453121,2.607574098473894,0.4721254355400697,1148,-0.822372214960152,2.2753627331528143,1.0682819066355596,odesa,local
0.6288001038042027,0.6384414662717733,0.6275903467292585,0.5861362378678332,1.2326580972645715,3.0626079196445617,0.0627177700348432,1148,-5.864227276053363,8.273036659855295,2.3157797840920225,poltava,activity
0.384574365223854,0.4085018228524951,0.3577662714977341,0.3156088414025794,0.7541426506230728,2.375114545747881,0.8954703832752613,1148,-1.81020161877756,5.059792138533452,1.4817337424067831,poltava,global
0.49438954219867365,0.5126385939656705,0.5025375759950603,0.4396525138556138,0.963843513383309,2.689823835138596,0.4991289198606272,1148,-3.4255991987497296,6.5046153493198045,1.85946269966385,poltava,local
0.597020635792444,0.6056226173056366,0.5872406397196657,0.5796237537807533,1.181320140139687,3.0272330730405317,0.12282229965156795,1148,-14.413877161734248,50.07510582709124,4.528691351918702,rivne,activity
0.2690142214590287,0.2829232573807475,0.25549191287600426,0.23323037563006108,0.5314865141845663,2.016815120465823,0.975609756097561,1148,-2.3639150610503465,22.56356782487603,2.115627904811631,rivne,global
