F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,paradigm
0.13707165109034267,0.10576923076923077,0.19469026548672566,0.5372621948612715,0.10579270198908772,0.17382098415292457,22,186,849,91,1148,cherkasy,activity
0.0,0.0,0.0,0.4273737762387243,0.09527868198096617,0.09179192756618586,0,0,1035,113,1148,cherkasy,global
0.053691275167785234,0.1111111111111111,0.035398230088495575,0.5301526228036424,0.11600530178525409,0.10827140167651625,4,32,1003,109,1148,cherkasy,local
0.7730702263493906,0.8751642575558476,0.6923076923076923,0.5893775288936579,0.8538975205786719,0.22405316183852234,666,95,91,296,1148,chernihiv,activity
0.8685540950455005,0.8454724409448819,0.8929313929313929,0.5356001162452775,0.8327169687197855,0.1685073090157017,859,157,29,103,1148,chernihiv,global
0.6729559748427673,0.8519108280254777,0.5561330561330561,0.535703507477701,0.8506796422317572,0.2885889178714832,535,93,93,427,1148,chernihiv,local
0.7120908483633934,0.7680115273775217,0.663760896637609,0.646050138069197,0.7928107114938181,0.22719019272027172,533,161,184,270,1148,dnipropetrovsk,activity
0.8029034059184813,0.7277327935222672,0.8953922789539228,0.6081614236468317,0.7681575397589695,0.20676241038566456,719,269,76,84,1148,dnipropetrovsk,global
0.3755781683626272,0.7302158273381295,0.25280199252801994,0.5389553666504232,0.7243846805288612,0.3436095358015191,203,75,270,600,1148,dnipropetrovsk,local
0.2573913043478261,0.24262295081967214,0.2740740740740741,0.519689108242639,0.24522436314075208,0.23191641939005952,74,231,647,196,1148,donetsk,activity
0.0,0.0,0.0,0.5334008267949042,0.2564876040049293,0.19588155011896496,0,0,878,270,1148,donetsk,global
0.04984423676012461,0.1568627450980392,0.02962962962962963,0.5360773643803256,0.2447018288437503,0.19536591897677144,8,43,835,262,1148,donetsk,local
0.0,0.0,0.0,0.6314572704081634,0.04108502451062214,0.04393194221086371,0,7,1113,28,1148,ivano-frankivsk,activity
0.0,0.0,0.0,0.5715401785714286,0.028289595431608243,0.023984833418044676,0,0,1120,28,1148,ivano-frankivsk,global
0.06060606060606061,0.2,0.03571428571428571,0.6478316326530613,0.11309895809622847,0.0317405768070327,1,4,1116,27,1148,ivano-frankivsk,local
0.43605150214592275,0.7962382445141066,0.30023640661938533,0.6092088989087721,0.7829324394320183,0.32829340902521875,254,65,237,592,1148,kharkiv,activity
0.7246192893401016,0.7821917808219178,0.6749408983451537,0.6023006591204421,0.7837892306445364,0.22331931008827813,571,159,143,275,1148,kharkiv,global
0.5342679127725857,0.7831050228310502,0.40543735224586286,0.5821610852785998,0.7767483717164224,0.3129341700717782,343,95,207,503,1148,kharkiv,local
0.782847718526663,0.8557692307692307,0.7213779128672746,0.4968535055095119,0.8623837168191267,0.20978566534897083,712,120,41,275,1148,kherson,activity
0.893326838772528,0.8602251407129456,0.9290780141843972,0.4961549837326235,0.8671357161529158,0.15616915818810828,917,149,12,70,1148,kherson,global
0.7255483106105513,0.8742857142857143,0.6200607902735562,0.5332395677975168,0.866428326363295,0.25346008138946036,612,88,73,375,1148,kherson,local
0.07179487179487179,0.051470588235294115,0.11864406779661017,0.44378297614044915,0.04648567970567529,0.12978895846660035,7,129,960,52,1148,khmelnytskyi,activity
0.0,0.0,0.0,0.49123749046707443,0.05238053976614922,0.049265218389996236,0,0,1089,59,1148,khmelnytskyi,global
0.0,0.0,0.0,0.4388881106908842,0.04436881705562352,0.06359828539416094,0,10,1079,59,1148,khmelnytskyi,local
0.012345679012345678,0.008333333333333333,0.023809523809523808,0.39282485145957124,0.028489236850360866,0.11255622954384588,1,119,987,41,1148,kirovohrad,activity
0.0,0.0,0.0,0.5174158270903298,0.040386848240271896,0.035612368026850756,0,0,1106,42,1148,kirovohrad,global
0.0,0.0,0.0,0.5498686816498751,0.04353075291270829,0.04624147705076701,0,1,1105,42,1148,kirovohrad,local
0.2846153846153846,0.37755102040816324,0.22839506172839505,0.5826740980462664,0.36500493096989,0.22339377742733826,74,122,702,250,1148,kyiv,activity
0.0,0.0,0.0,0.568459337168884,0.3360424322879764,0.23601416149992846,0,0,824,324,1148,kyiv,global
0.03529411764705882,0.375,0.018518518518518517,0.5704239332374446,0.32762949386569484,0.21842237694587804,6,10,814,318,1148,kyiv,local
0.0,0.0,0.0,0.36297376093294464,0.013863525143079565,0.02173656475822599,0,1,1126,21,1148,luhansk,activity
0.0,0.0,0.0,0.45730341826171467,0.01727770982883781,0.018055483414903466,0,0,1127,21,1148,luhansk,global
0.0,0.0,0.0,0.4294376135547387,0.016935109109874343,0.025726439203174103,0,0,1127,21,1148,luhansk,local
0.06451612903225806,0.1,0.047619047619047616,0.6862720243376853,0.08966389527742583,0.037416318672251106,1,9,1118,20,1148,lviv,activity
0.0,0.0,0.0,0.6425191194490218,0.05193075826219418,0.01785913162631914,0,0,1127,21,1148,lviv,global
0.1111111111111111,0.13333333333333333,0.09523809523809523,0.35053027422148986,0.029408754617743137,0.0357435410427874,2,13,1114,19,1148,lviv,local
0.2895622895622896,0.22631578947368422,0.40186915887850466,0.5588965158398207,0.21817296350803794,0.22791495529342393,86,294,640,128,1148,mykolaiv,activity
0.0,0.0,0.0,0.5480948187876483,0.21763210210449735,0.15680155487062317,0,0,934,214,1148,mykolaiv,global
0.1111111111111111,0.3684210526315789,0.06542056074766354,0.5749414637074987,0.2502289655022896,0.15456579575440765,14,24,910,200,1148,mykolaiv,local
0.16,0.1165644171779141,0.2550335570469799,0.4932382046476006,0.1321564322388939,0.21422798334224336,38,288,711,111,1148,odesa,activity
0.0,0.0,0.0,0.51316081181853,0.13308512477525797,0.11547123881544022,0,0,999,149,1148,odesa,global
0.012987012987012988,0.2,0.006711409395973154,0.5181624577597732,0.13403745656171842,0.11854244182639968,1,4,995,148,1148,odesa,local
0.09364548494983277,0.05622489959839357,0.28,0.558023679417122,0.06283219543471218,0.1660510125694254,14,235,863,36,1148,poltava,activity
0.0,0.0,0.0,0.5115118397085611,0.04729450844204065,0.04225501478376451,0,0,1098,50,1148,poltava,global
0.056338028169014086,0.09523809523809523,0.04,0.5442896174863389,0.05511396131419374,0.062404710650801415,2,19,1079,48,1148,poltava,local
0.0,0.0,0.0,0.45014349489795913,0.022637510863658755,0.05497815242849879,0,20,1100,28,1148,rivne,activity
0.0,0.0,0.0,0.5191645408163265,0.030489262500105294,0.02390680350054398,0,0,1120,28,1148,rivne,global
0.07894736842105263,0.0625,0.10714285714285714,0.48673469387755103,0.028461335996083283,0.05863023741044286,3,45,1075,25,1148,rivne,local
0.9758713136729222,0.9537117903930131,0.9990850869167429,0.5542044414871496,0.9576160557079025,0.051343578933445225,1092,53,2,1,1148,sumy,activity
0.9754573850959393,0.9520905923344948,1.0,0.5816019296348665,0.962698547262452,0.047103841414089305,1093,55,0,0,1148,sumy,global
0.9299482839680301,0.9564796905222437,0.9048490393412626,0.5108708309074274,0.953616822815773,0.11117681509687176,989,45,10,104,1148,sumy,local
0.047244094488188976,0.03260869565217391,0.08571428571428572,0.4327685791297652,0.03198698004622864,0.10586940202169728,3,89,1024,32,1148,vinnytsia,activity
0.0,0.0,0.0,0.3684251058914132,0.023383006764972673,0.030613363956956578,0,0,1113,35,1148,vinnytsia,global
0.0,0.0,0.0,0.35144397381594145,0.022062727209302073,0.046536806712374056,0,3,1110,35,1148,vinnytsia,local
0.47156153050672184,0.6972477064220184,0.35625,0.6763441190944881,0.6737660163260082,0.254321766871973,228,99,409,412,1148,zaporizhia,activity
0.6666666666666666,0.6429608127721336,0.6921875,0.6484559547244093,0.6594868075435785,0.23098876501771531,443,246,262,197,1148,zaporizhia,global
0.4375,0.765625,0.30625,0.6686484990157482,0.7100554028497266,0.29189245647787027,196,60,448,444,1148,zaporizhia,local
0.03773584905660377,0.026845637583892617,0.06349206349206349,0.4608368078414161,0.04781751802758609,0.1383243980419131,4,145,940,59,1148,zhytomyr,activity
0.0,0.0,0.0,0.40970667837027275,0.043642536240821324,0.05315998930475727,0,0,1085,63,1148,zhytomyr,global
0.0,0.0,0.0,0.46080023407212345,0.05144021114076603,0.06450860460032523,0,8,1077,63,1148,zhytomyr,local
