Feature,h1_importance,h2_importance,h3_importance,h4_importance,h5_importance,h6_importance,h7_importance,mean_importance
region_statcov_target_act_drone_strike_on_ua,17.18577415402299,17.078646941275455,16.234719679716022,16.126086907287206,16.508280299438486,16.439805419858132,16.59303057590193,16.595191996785747
act_drone_strike_on_ua_target_lag-2,0.9721984163440154,3.234007279224562,0.616329351980601,1.3787799793210571,0.8012492895302303,2.6540061178182466,2.260864819476854,1.702490750527938
act_drone_strike_on_ua_target_lag-1,1.7009152163420347,0.9606893706755802,3.294524519760392,0.7159581158074284,1.37349797792066,0.9523569062137296,2.686406262177974,1.669192624128257
act_drone_strike_on_ua_target_lag-7,2.395249257184311,2.3803346098767233,0.8653342764351147,1.4679750600013906,2.163678108904505,1.2623105430916681,0.8424665988771756,1.6253354934815554
act_drone_strike_on_ua_target_lag-5,0.9121387707587839,0.9347280801625542,3.029416566494246,2.4137744816105084,0.6621278831347155,1.186386551623367,2.056284823820024,1.599265308229171
act_drone_strike_on_ua_target_lag-3,3.1988389095916476,0.561784138012058,0.8182643907511524,0.9555480117625974,2.3583874990735207,2.3322503264471566,0.9064436145391024,1.5902166985967479
act_drone_strike_on_ua_target_lag-4,0.758337073072129,0.8232060461675982,0.8643123545557964,2.7298005852950427,2.435522042525631,1.1811071302733127,1.2452353139870924,1.4339315065538005
act_drone_strike_on_ua_target_lag-6,0.9309462469594382,2.2132031683943576,2.293366435196592,1.0912440522051488,0.9874496059680501,1.7480842096297466,0.7246261565538381,1.4269885535581674
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-7,0.9489859374872267,1.0368781211751767,0.7364393276808958,1.083826351946544,1.7829304680192941,1.5147917159911255,0.9556114902265024,1.1513519160752523
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-14,0.9809687236854583,1.2477615411684897,0.7247544648318338,0.8568355491558428,0.7422620502731837,0.9854371591999039,0.9479290455408674,0.9265640762650829
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-1,0.8884095704859704,0.7961202800423953,1.0947064633910093,0.7795080537945823,0.7674539983265258,0.6743165687669214,1.0870402966857942,0.8696507473561713
rolling_rmean28_28_act_total_daily_strike_events_pastcov_lag-7,1.0094126916301462,1.2334612705304193,0.8361446971639654,0.8366570477292132,1.0174958737896889,0.6116908249295531,0.475259134098229,0.8600173628387451
rolling_rmean28_28_dist_to_nearest_contested_km_pastcov_lag-7,0.5501706040984858,0.9677816083268561,0.752503261426378,0.7989347975076421,0.7720494360220731,0.6167512061455046,0.8049920473971379,0.7518832801320111
rolling_rmean28_28_act_total_daily_strike_events_pastcov_lag-14,0.8723273553230734,0.6909123102665491,0.8029624752006066,0.6476281477153006,0.63833653578666,0.9564803073074125,0.6471976641395117,0.7508349708198734
Activity_Level_statcov_target_act_drone_strike_on_ua,0.6385607984980365,0.44993758806539785,0.4240144997464972,0.7372119988509666,0.6873566684419904,0.8351246289242358,0.8759803133873716,0.6640266422734994
ewm_ewma14_act_total_daily_strike_events_pastcov_lag-7,0.9971772921438161,0.6703908872598308,0.40752622584587483,0.38993734956002707,1.0876400354424618,0.46085409118575604,0.5019324641601522,0.6450654779425598
ewm_ewma14_acled_other_ua_disrupted_weapons_use_pastcov_lag-1,1.2831122694725512,0.753753111009514,0.4705316102404668,0.5115488157214374,0.36080790159805726,0.3272980262803832,0.5512053547624033,0.6083224412978304
rolling_rmean28_28_act_total_daily_strike_events_pastcov_lag-1,0.6576768145888405,0.2004598081679056,0.2488005081337334,0.8159495420111451,0.6254688643855605,1.124284982675841,0.48834497024855555,0.5944264986016545
rolling_rmean28_28_dist_to_nearest_ru_km_pastcov_lag-14,0.807671185534266,0.5609740696154132,0.41498671775154106,0.6154412146806937,0.5820832220357995,0.6382310144872725,0.44460626703529127,0.5805705273057539
ewm_expdecay7_dist_to_nearest_contested_km_pastcov_lag-14,0.3351632865421573,0.46775167862430117,0.36392283395602953,0.17986312111876715,0.5346780260672146,0.8730633997741246,1.2238704581355562,0.568330400602593
rolling_rsum14_14_dist_to_nearest_contested_km_pastcov_lag-14,0.3146231122515003,0.3238659085217086,0.4810745093873862,0.5561201734829385,0.7117954859882976,0.7539139795990846,0.7402674279917809,0.5545229424603851
env_weather_wind_gusts_10m_mean_futcov_lag6,0.25797637716133753,0.6574365247942042,0.5971393277922684,0.40741151528072134,0.574070195411859,0.5249206553092646,0.8117651605199993,0.5472456794670935
