F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,paradigm
0.18407960199004975,0.10155535224153706,0.9823008849557522,0.539746056175452,0.10602858943115645,0.3460916881989109,111,982,53,2,1148,cherkasy,activity
0.017241379310344827,0.3333333333333333,0.008849557522123894,0.4319182591595058,0.0957775113453212,0.14872929551766897,1,2,1033,112,1148,cherkasy,global
0.18204488778054864,0.10595065312046444,0.6460176991150443,0.5413919883715959,0.11944117921158438,0.27610797244458135,73,616,419,40,1148,cherkasy,local
0.9117647058823529,0.8385689354275742,0.998960498960499,0.6009713187132542,0.8553894652540168,0.16010402893408782,961,185,1,1,1148,chernihiv,activity
0.9118483412322275,0.837979094076655,1.0,0.5360025037444393,0.8317639925024904,0.1563692462697514,962,186,0,0,1148,chernihiv,global
0.9075227599425012,0.8417777777777777,0.9844074844074844,0.5442011490398588,0.8546917433862992,0.15969689540592483,947,178,8,15,1148,chernihiv,local
0.8235897435897436,0.7000871839581517,1.0,0.6489071777934197,0.7973083303578012,0.20399775332433495,803,344,1,0,1148,dnipropetrovsk,activity
0.8231676063557151,0.6994773519163763,1.0,0.6259931055642789,0.7781189958374206,0.20607893293169613,803,345,0,0,1148,dnipropetrovsk,global
0.816008316008316,0.7002676181980375,0.9775840597758406,0.540393813056112,0.7262026287963892,0.21437251984915542,785,336,9,18,1148,dnipropetrovsk,local
0.3803418803418803,0.23544973544973544,0.9888888888888889,0.5225849995781658,0.24489066497678452,0.333882015337279,267,867,11,3,1148,donetsk,activity
0.34902411021814006,0.2529118136439268,0.562962962962963,0.5368936134311988,0.2425290096471195,0.24968010474654267,152,449,429,118,1148,donetsk,global
0.3691215616681455,0.2427071178529755,0.7703703703703704,0.5298869484518687,0.2462391292396736,0.28576481992196784,208,649,229,62,1148,donetsk,local
0.060225846925972396,0.031209362808842653,0.8571428571428571,0.6383609693877551,0.04017170519442113,0.277213864023096,24,745,375,4,1148,ivano-frankivsk,activity
0.0,0.0,0.0,0.5539859693877551,0.028239850502507283,0.06922088956324295,0,0,1120,28,1148,ivano-frankivsk,global
0.08547008547008547,0.04854368932038835,0.35714285714285715,0.6699617346938775,0.0831625176294012,0.1707655923344948,10,196,924,18,1148,ivano-frankivsk,local
0.8489795918367347,0.7468581687612208,0.983451536643026,0.6091345325881045,0.777986752534356,0.2006925485334945,832,282,20,14,1148,kharkiv,activity
0.8485456369107321,0.7369337979094077,1.0,0.6144654235749065,0.7937871036355141,0.1956649521057746,846,302,0,0,1148,kharkiv,global
0.8467452588416197,0.7475113122171946,0.9763593380614657,0.5872825763624693,0.7784110604301029,0.1959944456644091,826,279,23,20,1148,kharkiv,local
0.9245901639344263,0.8597560975609756,1.0,0.5012365723347618,0.8667690786485014,0.15079113901549293,987,161,0,0,1148,kherson,activity
0.9245901639344263,0.8597560975609756,1.0,0.5016896675413921,0.867077290545907,0.1456431171839797,987,161,0,0,1148,kherson,global
0.9261176470588235,0.8646748681898067,0.9969604863221885,0.5274279924735852,0.8643168674482363,0.14446813200443898,984,154,7,3,1148,kherson,local
0.09617097061442564,0.05075187969924812,0.9152542372881356,0.43793870912514976,0.045888021634022225,0.3423712731762756,54,1010,79,5,1148,khmelnytskyi,activity
0.0,0.0,0.0,0.4970350656020918,0.0503629866760746,0.10419394783179883,0,0,1089,59,1148,khmelnytskyi,global
0.08365019011406843,0.047109207708779445,0.3728813559322034,0.4504521330407309,0.046653501553730284,0.23583290261577644,22,445,644,37,1148,khmelnytskyi,local
0.06313834726090993,0.03285024154589372,0.8095238095238095,0.40372858003961076,0.02961070277995214,0.33570975137352776,34,1001,105,8,1148,kirovohrad,activity
0.0,0.0,0.0,0.5033583053474554,0.03807539618321926,0.10070455595392497,0,0,1106,42,1148,kirovohrad,global
0.07468879668049792,0.04090909090909091,0.42857142857142855,0.5391479376560752,0.04312660015915073,0.23353885017421602,18,422,684,24,1148,kirovohrad,local
0.4552177485620378,0.3101903695408735,0.8549382716049383,0.5894874445643052,0.3708176367056004,0.28395300103057936,277,616,208,47,1148,kyiv,activity
0.3254237288135593,0.3609022556390977,0.2962962962962963,0.5723997662711255,0.34875363871638004,0.23080849021341918,96,170,654,228,1148,kyiv,global
0.41372141372141374,0.31191222570532917,0.6141975308641975,0.573684525949898,0.3367111020773331,0.25394398807229357,199,439,385,125,1148,kyiv,local
0.0,0.0,0.0,0.2965310347741581,0.012629606068357564,0.18250432840810282,0,194,933,21,1148,luhansk,activity
0.0,0.0,0.0,0.47251447162716015,0.01766442928241784,0.052036601203478076,0,0,1127,21,1148,luhansk,global
0.011235955056179775,0.006369426751592357,0.047619047619047616,0.41376177800312675,0.017275405520314372,0.15355923344947736,1,156,971,20,1148,luhansk,local
0.04668304668304668,0.02395964691046658,0.9047619047619048,0.694511344910635,0.07590992781576521,0.27825225630563494,19,774,353,2,1148,lviv,activity
0.0,0.0,0.0,0.6525964423036296,0.08036415534680626,0.06867551015686828,0,0,1127,21,1148,lviv,global
0.03296703296703297,0.01749271137026239,0.2857142857142857,0.37408628047492287,0.03439681576877755,0.20796550522648083,6,337,790,15,1148,lviv,local
0.3125469571750564,0.18621307072515667,0.9719626168224299,0.5650753467149633,0.22645143295195846,0.3447356046054808,208,909,25,6,1148,mykolaiv,activity
0.28061224489795916,0.19298245614035087,0.514018691588785,0.5582611218955753,0.2274339074260866,0.24656180453501023,110,460,474,104,1148,mykolaiv,global
0.3122448979591837,0.19973890339425587,0.7149532710280374,0.5843773139346394,0.2616740912827611,0.274479476131487,153,613,321,61,1148,mykolaiv,local
0.2329162656400385,0.13595505617977527,0.8120805369127517,0.4936412922990103,0.12864241081265065,0.3312155363571348,121,769,230,28,1148,odesa,activity
0.19047619047619047,0.152,0.2550335570469799,0.5057339218413044,0.1327616625260662,0.22411452716788985,38,212,787,111,1148,odesa,global
0.19967266775777415,0.13203463203463203,0.40939597315436244,0.5147294945952664,0.13382678867454084,0.23440030251364793,61,401,598,88,1148,odesa,local
0.08290155440414508,0.04332129963898917,0.96,0.5490892531876138,0.05815305255983017,0.36571834634626493,48,1060,38,2,1148,poltava,activity
0.0,0.0,0.0,0.49907103825136606,0.04545986264597425,0.12109409438051993,0,2,1096,50,1148,poltava,global
0.09326424870466321,0.05103969754253308,0.54,0.5461566484517304,0.05912093293124371,0.24424103126414304,27,502,596,23,1148,poltava,local
0.05010893246187364,0.025842696629213482,0.8214285714285714,0.4732780612244898,0.023105192604686003,0.29375641024151505,23,867,253,5,1148,rivne,activity
0.0,0.0,0.0,0.524170918367347,0.026563608376793713,0.0677105488408982,0,0,1120,28,1148,rivne,global
0.03409090909090909,0.018,0.32142857142857145,0.4927933673469388,0.029798754830014665,0.25268780487804876,9,491,629,19,1148,rivne,local
0.9754573850959393,0.9520905923344948,1.0,0.5763619728853031,0.9602718977817324,0.07809582437555562,1093,55,0,0,1148,sumy,activity
0.9754573850959393,0.9520905923344948,1.0,0.6373783581468851,0.968797597394432,0.07574585901170253,1093,55,0,0,1148,sumy,global
0.97362539114886,0.9519230769230769,0.9963403476669717,0.5282874490559761,0.9593892316229649,0.07055651369045798,1089,55,0,4,1148,sumy,local
0.056925996204933584,0.029440628066732092,0.8571428571428571,0.4215633423180593,0.03300733136319111,0.3361396324131421,30,989,124,5,1148,vinnytsia,activity
0.0,0.0,0.0,0.3628802464381979,0.0236692360675075,0.09579592490770579,0,0,1113,35,1148,vinnytsia,global
0.022123893805309734,0.011990407673860911,0.14285714285714285,0.37362341162880247,0.023774241449793496,0.2274693379790941,5,412,701,30,1148,vinnytsia,local
0.7215332581736189,0.564373897707231,1.0,0.6811515748031496,0.6770562425754261,0.23864253835970034,640,494,14,0,1148,zaporizhia,activity
0.7158836689038032,0.5574912891986062,1.0,0.6686884842519685,0.6727237826953414,0.24891883507424603,640,508,0,0,1148,zaporizhia,global
0.7220026350461133,0.6241457858769932,0.85625,0.6685900590551181,0.7074501986118191,0.2273936969316488,548,330,178,92,1148,zaporizhia,local
0.1082024432809773,0.057248384118190214,0.9841269841269841,0.4633457684148928,0.04825544332635753,0.34367447027310943,62,1021,64,1,1148,zhytomyr,activity
